age,type of job,marital status,education,has credit in default?,"average yearly balance, in euros",has housing loan?,has personal loan?,contact communication type,last contact day of the month,last contact month of year,"last contact duration, in seconds",number of contacts performed during this campaign and for this client,number of days that passed by after the client was last contacted from a previous campaign,number of contacts performed before this campaign and for this client,outcome of the previous marketing campaign,label
26,technician,single,secondary,no,1231,yes,no,cellular,4,sep,230,1,93,7,success,True
32,self-employed,single,tertiary,no,658,yes,no,cellular,27,mar,283,1,client was not previously contacted,0,unknown,True
30,services,single,tertiary,no,1788,no,no,cellular,4,aug,288,1,181,2,failure,True
33,management,married,tertiary,no,2599,no,no,cellular,30,apr,1373,2,client was not previously contacted,0,unknown,True
43,services,single,secondary,no,3403,yes,no,cellular,12,nov,707,2,97,2,success,True
42,blue-collar,married,primary,no,807,yes,no,cellular,19,nov,1057,1,client was not previously contacted,0,unknown,True
26,technician,single,tertiary,no,-67,yes,no,cellular,15,may,637,1,client was not previously contacted,0,unknown,True
41,technician,single,tertiary,no,145,no,no,cellular,22,jul,1833,2,client was not previously contacted,0,unknown,True
23,services,single,secondary,no,665,yes,no,unknown,28,may,1183,1,client was not previously contacted,0,unknown,True
38,admin.,divorced,secondary,no,19,yes,no,unknown,30,may,604,2,client was not previously contacted,0,unknown,True
26,admin.,married,secondary,no,710,yes,yes,unknown,6,jun,1276,2,client was not previously contacted,0,unknown,True
31,admin.,single,tertiary,no,676,yes,no,cellular,22,apr,124,2,343,2,other,True
49,admin.,married,secondary,no,197,yes,no,cellular,13,apr,223,1,182,2,failure,True
44,technician,married,tertiary,no,1933,no,no,cellular,5,jun,462,1,client was not previously contacted,0,unknown,True
22,student,single,secondary,no,2488,no,no,cellular,8,nov,449,2,38,10,other,True
25,student,single,secondary,no,331,no,no,telephone,26,aug,170,4,client was not previously contacted,0,unknown,True
59,retired,single,secondary,no,351,yes,no,unknown,27,may,1063,5,client was not previously contacted,0,unknown,True
51,technician,married,tertiary,no,0,no,no,cellular,2,mar,539,2,client was not previously contacted,0,unknown,True
43,entrepreneur,married,secondary,no,104,yes,no,cellular,18,jul,635,3,client was not previously contacted,0,unknown,True
34,admin.,married,tertiary,no,0,no,no,cellular,28,jan,155,2,client was not previously contacted,0,unknown,True
49,management,married,secondary,no,99,yes,no,cellular,6,may,687,2,343,1,failure,True
50,blue-collar,married,primary,no,5872,yes,no,cellular,5,may,762,3,client was not previously contacted,0,unknown,True
45,blue-collar,married,secondary,no,1144,yes,no,unknown,22,oct,676,1,client was not previously contacted,0,unknown,True
30,entrepreneur,single,secondary,no,732,no,no,cellular,3,feb,1404,4,client was not previously contacted,0,unknown,True
25,technician,single,secondary,no,102,no,yes,cellular,8,jul,574,2,client was not previously contacted,0,unknown,True
85,retired,married,primary,no,12114,no,no,telephone,12,feb,165,2,client was not previously contacted,0,unknown,True
46,technician,married,tertiary,no,0,no,no,cellular,20,nov,531,1,167,1,failure,True
35,technician,married,secondary,no,1368,no,no,cellular,27,may,329,1,41,2,other,True
26,management,single,tertiary,no,45,no,no,cellular,10,jul,1187,3,client was not previously contacted,0,unknown,True
75,retired,married,secondary,no,291,no,no,cellular,11,feb,515,1,183,1,failure,True
51,management,married,tertiary,no,2455,yes,no,cellular,21,jul,553,1,client was not previously contacted,0,unknown,True
32,management,single,tertiary,no,2,yes,no,cellular,11,sep,100,2,client was not previously contacted,0,unknown,True
61,self-employed,divorced,tertiary,no,6,yes,no,cellular,14,apr,133,2,client was not previously contacted,0,unknown,True
47,services,divorced,tertiary,no,1639,no,no,cellular,12,jan,349,1,client was not previously contacted,0,unknown,True
33,blue-collar,divorced,secondary,no,3546,yes,no,unknown,23,may,777,2,client was not previously contacted,0,unknown,True
35,management,married,tertiary,no,0,yes,no,cellular,11,feb,391,2,92,5,success,True
30,management,married,tertiary,no,1567,yes,no,cellular,12,aug,1133,4,client was not previously contacted,0,unknown,True
64,entrepreneur,married,tertiary,no,2331,no,no,telephone,9,nov,201,1,client was not previously contacted,0,unknown,True
26,student,single,secondary,no,0,no,no,cellular,2,feb,1223,2,client was not previously contacted,0,unknown,True
32,services,single,secondary,no,5806,yes,no,cellular,20,nov,1503,2,client was not previously contacted,0,unknown,True
37,services,married,secondary,no,1543,yes,no,cellular,22,may,298,1,10,6,failure,True
35,services,single,tertiary,no,0,no,no,cellular,3,jul,704,1,client was not previously contacted,0,unknown,True
35,entrepreneur,married,secondary,no,2436,no,yes,cellular,14,jul,1397,3,client was not previously contacted,0,unknown,True
51,management,married,tertiary,no,4917,no,no,cellular,23,apr,113,1,client was not previously contacted,0,unknown,True
37,services,married,secondary,no,4017,no,no,cellular,30,apr,665,2,196,1,success,True
40,technician,married,tertiary,no,1293,no,no,cellular,16,sep,1702,3,105,2,success,True
26,management,single,tertiary,no,1094,yes,no,cellular,8,sep,137,1,client was not previously contacted,0,unknown,True
34,technician,married,secondary,no,133,no,no,cellular,15,nov,401,2,187,5,success,True
52,management,married,tertiary,no,388,no,no,cellular,25,may,272,1,client was not previously contacted,0,unknown,True
30,technician,single,tertiary,no,880,yes,yes,unknown,19,may,967,6,client was not previously contacted,0,unknown,True
32,services,single,unknown,no,2378,no,no,cellular,17,nov,1132,2,client was not previously contacted,0,unknown,True
45,admin.,married,secondary,no,205,no,no,cellular,3,feb,373,1,92,1,success,True
25,self-employed,single,tertiary,no,42,yes,no,cellular,5,jun,149,1,94,1,success,True
29,management,married,tertiary,no,247,no,no,cellular,16,sep,143,2,587,3,failure,True
48,admin.,married,secondary,no,156,no,no,cellular,4,aug,291,1,client was not previously contacted,0,unknown,True
31,technician,married,secondary,no,684,yes,no,cellular,7,dec,620,3,client was not previously contacted,0,unknown,True
37,management,married,tertiary,no,0,yes,no,cellular,23,apr,242,5,153,7,failure,True
26,unemployed,single,tertiary,no,3466,no,no,cellular,6,oct,275,2,client was not previously contacted,0,unknown,True
56,management,divorced,tertiary,no,4266,yes,no,unknown,17,jun,490,4,client was not previously contacted,0,unknown,True
38,self-employed,single,tertiary,no,605,no,no,telephone,18,jun,1603,10,client was not previously contacted,0,unknown,True
44,self-employed,married,secondary,no,706,no,no,unknown,5,nov,204,1,client was not previously contacted,0,unknown,True
40,blue-collar,married,secondary,no,1451,no,no,cellular,1,jun,314,1,client was not previously contacted,0,unknown,True
41,blue-collar,married,primary,no,246,no,no,unknown,19,jun,683,3,client was not previously contacted,0,unknown,True
27,services,single,secondary,no,453,no,no,cellular,19,apr,142,2,client was not previously contacted,0,unknown,True
38,student,single,tertiary,no,3316,no,no,unknown,17,jun,1345,3,client was not previously contacted,0,unknown,True
42,management,married,tertiary,no,4,yes,no,cellular,17,jul,795,1,client was not previously contacted,0,unknown,True
26,self-employed,single,secondary,no,3676,no,no,cellular,7,apr,148,1,client was not previously contacted,0,unknown,True
54,blue-collar,divorced,primary,no,4401,no,no,telephone,13,may,414,1,183,2,success,True
41,entrepreneur,married,secondary,no,30,no,no,cellular,30,apr,460,1,client was not previously contacted,0,unknown,True
30,self-employed,single,tertiary,no,655,no,no,cellular,23,sep,272,4,184,1,success,True
34,services,single,secondary,no,-30,no,no,cellular,21,jul,1360,3,client was not previously contacted,0,unknown,True
37,admin.,married,secondary,no,274,yes,no,unknown,27,may,731,3,client was not previously contacted,0,unknown,True
30,blue-collar,married,secondary,no,1664,yes,no,telephone,20,oct,2016,1,client was not previously contacted,0,unknown,True
63,retired,married,secondary,no,1495,no,no,cellular,25,oct,389,1,195,4,other,True
77,retired,married,tertiary,no,699,no,no,cellular,13,aug,425,2,client was not previously contacted,0,unknown,True
