age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,label
43.0,blue-collar,married,secondary,no,-179.0,yes,no,cellular,30.0,jul,335.0,6.0,-1.0,0.0,unknown,False
37.0,management,married,secondary,no,859.0,no,no,cellular,28.0,aug,246.0,15.0,-1.0,0.0,unknown,False
46.0,entrepreneur,married,secondary,no,-880.0,no,yes,cellular,12.0,aug,185.0,2.0,-1.0,0.0,unknown,False
32.0,admin.,divorced,secondary,yes,-18.0,yes,no,unknown,12.0,may,155.0,3.0,-1.0,0.0,unknown,False
39.0,blue-collar,married,primary,no,104.0,yes,no,unknown,4.0,jun,624.0,2.0,-1.0,0.0,unknown,False
55.0,retired,married,tertiary,no,357.0,yes,no,cellular,11.0,aug,526.0,1.0,103.0,1.0,failure,False
29.0,unemployed,single,unknown,no,1584.0,no,no,cellular,6.0,sep,245.0,1.0,-1.0,0.0,unknown,True
38.0,blue-collar,divorced,primary,no,0.0,no,no,unknown,12.0,jun,49.0,2.0,-1.0,0.0,unknown,False
32.0,technician,single,secondary,no,90.0,no,no,cellular,22.0,aug,278.0,2.0,-1.0,0.0,unknown,False
38.0,management,divorced,tertiary,no,-199.0,yes,no,cellular,18.0,may,15.0,3.0,-1.0,0.0,unknown,False
39.0,entrepreneur,married,tertiary,no,0.0,no,no,cellular,25.0,aug,422.0,10.0,-1.0,0.0,unknown,False
38.0,management,single,tertiary,no,11971.0,yes,no,unknown,17.0,nov,609.0,2.0,101.0,3.0,failure,False
35.0,management,divorced,tertiary,no,160.0,yes,no,unknown,4.0,jun,141.0,6.0,-1.0,0.0,unknown,False
54.0,technician,divorced,secondary,no,136.0,no,yes,cellular,10.0,jul,151.0,4.0,-1.0,0.0,unknown,False
38.0,self-employed,married,secondary,no,854.0,yes,yes,cellular,28.0,dec,112.0,2.0,-1.0,0.0,unknown,False
60.0,admin.,divorced,unknown,no,791.0,yes,no,unknown,13.0,may,144.0,1.0,-1.0,0.0,unknown,False
33.0,management,single,tertiary,no,3495.0,yes,yes,cellular,21.0,nov,11.0,2.0,-1.0,0.0,unknown,False
57.0,management,married,secondary,no,262.0,no,no,cellular,25.0,jul,276.0,1.0,-1.0,0.0,unknown,False
52.0,management,married,tertiary,no,1415.0,no,no,cellular,4.0,aug,163.0,1.0,-1.0,0.0,unknown,False
48.0,unemployed,married,secondary,no,41.0,yes,no,unknown,5.0,may,179.0,2.0,-1.0,0.0,unknown,False
63.0,retired,divorced,secondary,no,859.0,no,no,cellular,13.0,feb,92.0,1.0,-1.0,0.0,unknown,False
47.0,technician,single,secondary,no,361.0,no,no,unknown,9.0,jun,123.0,2.0,-1.0,0.0,unknown,False
38.0,technician,single,secondary,no,2442.0,no,no,cellular,27.0,may,161.0,1.0,100.0,3.0,success,False
43.0,housemaid,married,secondary,no,-177.0,yes,no,unknown,21.0,may,172.0,2.0,-1.0,0.0,unknown,False
46.0,admin.,married,secondary,no,974.0,no,no,cellular,5.0,jun,174.0,2.0,80.0,1.0,success,True
56.0,retired,married,secondary,no,2749.0,yes,yes,cellular,17.0,nov,38.0,1.0,172.0,2.0,failure,False
56.0,blue-collar,married,secondary,no,659.0,yes,no,cellular,2.0,feb,148.0,1.0,188.0,3.0,failure,False
28.0,technician,single,tertiary,no,230.0,yes,no,cellular,20.0,apr,505.0,3.0,-1.0,0.0,unknown,False
65.0,admin.,married,secondary,no,952.0,no,no,cellular,6.0,sep,255.0,1.0,96.0,1.0,success,True
33.0,technician,married,secondary,no,152.0,yes,no,cellular,7.0,jul,136.0,1.0,-1.0,0.0,unknown,False
49.0,management,married,tertiary,no,3022.0,no,no,unknown,19.0,jun,38.0,1.0,-1.0,0.0,unknown,False
43.0,unemployed,married,secondary,no,775.0,no,no,cellular,30.0,apr,488.0,1.0,-1.0,0.0,unknown,False
38.0,housemaid,married,primary,no,21.0,no,no,cellular,26.0,aug,634.0,2.0,-1.0,0.0,unknown,False
32.0,blue-collar,married,primary,no,187.0,no,no,cellular,20.0,nov,485.0,1.0,134.0,1.0,failure,False
44.0,management,married,tertiary,no,3091.0,yes,no,unknown,17.0,jun,331.0,4.0,-1.0,0.0,unknown,False
45.0,retired,divorced,secondary,no,187.0,yes,no,cellular,11.0,may,82.0,2.0,-1.0,0.0,unknown,False
50.0,admin.,married,secondary,no,242.0,yes,no,cellular,20.0,aug,69.0,4.0,-1.0,0.0,unknown,False
38.0,management,married,tertiary,no,546.0,no,no,cellular,22.0,aug,82.0,2.0,-1.0,0.0,unknown,False
32.0,self-employed,married,secondary,no,-33.0,yes,no,cellular,18.0,may,158.0,1.0,355.0,3.0,failure,False
37.0,services,divorced,secondary,no,532.0,yes,no,unknown,11.0,jun,199.0,1.0,-1.0,0.0,unknown,False
28.0,student,single,secondary,no,0.0,yes,no,unknown,15.0,may,133.0,3.0,-1.0,0.0,unknown,False
22.0,blue-collar,single,secondary,no,-7.0,yes,no,cellular,17.0,apr,84.0,1.0,343.0,1.0,other,False
57.0,technician,married,secondary,no,124.0,yes,no,telephone,11.0,may,296.0,1.0,287.0,12.0,failure,False
31.0,technician,single,unknown,no,187.0,no,no,cellular,17.0,jul,86.0,1.0,-1.0,0.0,unknown,False
52.0,management,married,secondary,no,-588.0,yes,no,cellular,22.0,jul,81.0,4.0,-1.0,0.0,unknown,False
44.0,blue-collar,married,primary,no,582.0,no,no,cellular,21.0,jul,83.0,2.0,-1.0,0.0,unknown,False
80.0,retired,married,secondary,no,2354.0,no,no,telephone,4.0,feb,739.0,1.0,181.0,2.0,failure,True
24.0,blue-collar,married,secondary,no,0.0,no,no,unknown,28.0,may,94.0,1.0,-1.0,0.0,unknown,False
34.0,blue-collar,married,primary,no,139.0,yes,no,unknown,9.0,may,106.0,1.0,-1.0,0.0,unknown,False
32.0,blue-collar,married,secondary,no,-63.0,yes,no,unknown,30.0,may,198.0,1.0,-1.0,0.0,unknown,False
32.0,technician,married,tertiary,no,240.0,yes,yes,cellular,14.0,jul,86.0,3.0,-1.0,0.0,unknown,False
60.0,blue-collar,married,secondary,no,19447.0,yes,no,telephone,9.0,jul,196.0,1.0,-1.0,0.0,unknown,False
39.0,blue-collar,single,primary,no,446.0,yes,no,unknown,12.0,may,183.0,1.0,-1.0,0.0,unknown,False
