age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,label
28.0,blue-collar,single,secondary,no,623.0,no,no,unknown,18.0,jun,25.0,41.0,-1.0,0.0,unknown,False
49.0,management,married,secondary,no,367.0,yes,no,unknown,29.0,may,85.0,6.0,-1.0,0.0,unknown,False
33.0,blue-collar,married,secondary,no,0.0,yes,yes,unknown,20.0,may,114.0,1.0,-1.0,0.0,unknown,False
31.0,admin.,married,secondary,no,23.0,no,no,cellular,28.0,aug,322.0,7.0,-1.0,0.0,unknown,False
31.0,technician,married,tertiary,no,6562.0,yes,no,cellular,19.0,aug,118.0,2.0,-1.0,0.0,unknown,False
32.0,services,single,tertiary,no,1743.0,yes,no,cellular,1.0,apr,1156.0,1.0,261.0,3.0,other,False
50.0,blue-collar,married,primary,no,565.0,yes,yes,cellular,28.0,aug,36.0,3.0,-1.0,0.0,unknown,False
36.0,student,single,secondary,no,17.0,no,no,cellular,22.0,apr,621.0,1.0,-1.0,0.0,unknown,True
56.0,management,married,primary,no,13.0,no,no,cellular,17.0,nov,240.0,1.0,-1.0,0.0,unknown,False
31.0,admin.,single,tertiary,no,2004.0,no,no,cellular,19.0,nov,117.0,1.0,-1.0,0.0,unknown,False
40.0,blue-collar,married,secondary,no,1508.0,no,no,cellular,10.0,aug,153.0,2.0,383.0,1.0,failure,False
31.0,blue-collar,married,secondary,no,-45.0,yes,no,unknown,2.0,jun,184.0,1.0,-1.0,0.0,unknown,False
38.0,unemployed,married,secondary,no,5177.0,no,no,cellular,8.0,aug,102.0,2.0,-1.0,0.0,unknown,False
49.0,services,married,secondary,no,5673.0,no,yes,cellular,4.0,aug,357.0,3.0,-1.0,0.0,unknown,False
39.0,blue-collar,divorced,tertiary,no,382.0,no,no,cellular,18.0,jun,201.0,3.0,-1.0,0.0,unknown,False
34.0,management,married,tertiary,no,0.0,no,no,cellular,22.0,apr,176.0,1.0,-1.0,0.0,unknown,False
31.0,services,married,secondary,no,407.0,yes,no,cellular,15.0,apr,80.0,3.0,-1.0,0.0,unknown,False
57.0,retired,married,secondary,no,3738.0,yes,no,cellular,20.0,jul,178.0,2.0,92.0,8.0,failure,True
22.0,student,single,unknown,no,2281.0,no,no,cellular,8.0,sep,221.0,1.0,-1.0,0.0,unknown,False
46.0,services,married,primary,no,13118.0,no,no,cellular,5.0,aug,414.0,2.0,-1.0,0.0,unknown,False
30.0,services,single,secondary,no,114.0,no,yes,cellular,18.0,jul,110.0,10.0,-1.0,0.0,unknown,False
42.0,technician,married,secondary,no,122.0,yes,no,cellular,6.0,may,74.0,2.0,-1.0,0.0,unknown,False
31.0,management,single,tertiary,no,3384.0,no,no,cellular,16.0,sep,153.0,1.0,104.0,2.0,success,True
38.0,admin.,married,secondary,no,424.0,yes,no,cellular,17.0,apr,279.0,1.0,-1.0,0.0,unknown,False
59.0,retired,married,secondary,no,0.0,no,no,cellular,28.0,aug,23.0,15.0,-1.0,0.0,unknown,False
26.0,housemaid,single,secondary,no,229.0,yes,no,unknown,30.0,may,60.0,16.0,-1.0,0.0,unknown,False
28.0,services,single,secondary,no,168.0,yes,no,cellular,7.0,may,128.0,1.0,-1.0,0.0,unknown,False
25.0,blue-collar,married,primary,no,172.0,yes,no,unknown,29.0,may,95.0,3.0,-1.0,0.0,unknown,False
34.0,blue-collar,single,secondary,yes,-947.0,yes,no,unknown,8.0,may,211.0,3.0,-1.0,0.0,unknown,False
52.0,technician,married,secondary,no,2944.0,no,no,cellular,22.0,aug,22.0,18.0,-1.0,0.0,unknown,False
37.0,blue-collar,married,secondary,no,0.0,yes,no,cellular,15.0,jul,129.0,2.0,-1.0,0.0,unknown,False
27.0,management,married,tertiary,no,9630.0,yes,no,cellular,25.0,jul,190.0,4.0,-1.0,0.0,unknown,False
32.0,admin.,single,tertiary,no,4041.0,no,no,cellular,7.0,aug,325.0,1.0,99.0,2.0,success,False
43.0,blue-collar,divorced,secondary,no,590.0,yes,yes,cellular,20.0,apr,306.0,2.0,-1.0,0.0,unknown,False
34.0,technician,single,tertiary,no,2047.0,yes,no,cellular,28.0,jul,57.0,5.0,-1.0,0.0,unknown,False
33.0,management,married,tertiary,no,2173.0,yes,no,cellular,15.0,apr,871.0,1.0,-1.0,0.0,unknown,False
62.0,management,married,tertiary,no,7458.0,no,no,cellular,30.0,oct,212.0,2.0,-1.0,0.0,unknown,True
48.0,management,divorced,tertiary,no,148.0,no,no,cellular,12.0,aug,152.0,2.0,-1.0,0.0,unknown,False
60.0,admin.,married,secondary,no,3735.0,no,no,cellular,22.0,sep,183.0,1.0,184.0,11.0,success,True
49.0,technician,married,unknown,no,-287.0,yes,no,unknown,26.0,may,49.0,1.0,-1.0,0.0,unknown,False
32.0,technician,single,secondary,no,719.0,yes,no,unknown,28.0,may,79.0,6.0,-1.0,0.0,unknown,False
38.0,admin.,married,secondary,no,253.0,yes,no,unknown,9.0,may,515.0,4.0,-1.0,0.0,unknown,False
36.0,management,single,tertiary,no,609.0,no,no,cellular,18.0,aug,33.0,2.0,-1.0,0.0,unknown,False
34.0,admin.,divorced,secondary,no,1268.0,yes,no,cellular,15.0,may,259.0,3.0,-1.0,0.0,unknown,False
31.0,admin.,married,secondary,no,35.0,no,no,cellular,30.0,apr,615.0,1.0,-1.0,0.0,unknown,True
25.0,blue-collar,married,secondary,no,-76.0,yes,no,unknown,12.0,may,241.0,3.0,-1.0,0.0,unknown,False
35.0,services,married,secondary,no,2048.0,yes,no,cellular,11.0,may,219.0,1.0,173.0,2.0,failure,False
41.0,self-employed,married,secondary,no,28.0,yes,no,cellular,11.0,may,49.0,1.0,-1.0,0.0,unknown,False
53.0,admin.,married,secondary,no,7598.0,yes,no,unknown,23.0,may,27.0,7.0,-1.0,0.0,unknown,False
47.0,blue-collar,married,primary,no,502.0,yes,no,unknown,14.0,may,28.0,2.0,-1.0,0.0,unknown,False
34.0,blue-collar,married,secondary,no,0.0,yes,no,cellular,17.0,nov,301.0,1.0,-1.0,0.0,unknown,False
34.0,blue-collar,single,tertiary,no,1011.0,yes,no,unknown,6.0,may,136.0,1.0,-1.0,0.0,unknown,False
24.0,blue-collar,married,secondary,no,142.0,yes,yes,unknown,16.0,may,300.0,1.0,-1.0,0.0,unknown,False
45.0,blue-collar,married,primary,no,85.0,yes,no,unknown,8.0,may,162.0,1.0,-1.0,0.0,unknown,False
47.0,self-employed,married,tertiary,no,0.0,no,no,telephone,21.0,nov,28.0,1.0,-1.0,0.0,unknown,False
40.0,blue-collar,divorced,unknown,no,528.0,yes,no,cellular,13.0,may,340.0,2.0,357.0,5.0,failure,False
32.0,management,single,tertiary,no,154.0,no,yes,cellular,21.0,aug,301.0,3.0,-1.0,0.0,unknown,False
37.0,management,married,tertiary,no,393.0,yes,no,cellular,14.0,may,567.0,3.0,275.0,4.0,failure,True
27.0,blue-collar,married,secondary,no,1295.0,yes,no,cellular,14.0,may,1106.0,1.0,-1.0,0.0,unknown,False
40.0,admin.,married,secondary,no,2.0,no,no,unknown,28.0,may,187.0,3.0,-1.0,0.0,unknown,False
69.0,retired,married,primary,no,154.0,no,no,cellular,13.0,jul,144.0,4.0,-1.0,0.0,unknown,False
