age,type of job,marital status,education,has credit in default?,"average yearly balance, in euros",has housing loan?,has personal loan?,contact communication type,last contact day of the month,last contact month of year,"last contact duration, in seconds",number of contacts performed during this campaign and for this client,number of days that passed by after the client was last contacted from a previous campaign,number of contacts performed before this campaign and for this client,outcome of the previous marketing campaign,label
35,admin.,divorced,secondary,no,869,yes,no,unknown,29,may,173,1,client was not previously contacted,0,unknown,False
40,blue-collar,married,secondary,no,0,yes,no,cellular,17,nov,113,1,client was not previously contacted,0,unknown,False
37,admin.,married,secondary,no,766,yes,no,unknown,14,may,123,1,client was not previously contacted,0,unknown,False
35,admin.,single,secondary,no,0,yes,yes,telephone,20,nov,61,3,client was not previously contacted,0,unknown,False
25,student,single,tertiary,no,293,no,no,cellular,12,apr,231,1,client was not previously contacted,0,unknown,False
48,blue-collar,married,secondary,no,1230,yes,no,cellular,12,nov,169,1,196,2,success,True
31,admin.,married,secondary,no,212,yes,no,cellular,18,jul,191,3,client was not previously contacted,0,unknown,False
58,management,married,tertiary,no,648,no,no,cellular,8,aug,110,2,client was not previously contacted,0,unknown,False
48,services,divorced,secondary,no,142,yes,no,cellular,18,may,11,10,client was not previously contacted,0,unknown,False
43,blue-collar,married,unknown,no,285,yes,no,cellular,15,may,22,6,client was not previously contacted,0,unknown,False
42,unemployed,married,secondary,no,1990,yes,yes,unknown,19,may,13,1,client was not previously contacted,0,unknown,False
30,self-employed,married,secondary,no,57,no,yes,cellular,8,jul,55,2,client was not previously contacted,0,unknown,False
46,unknown,married,unknown,no,2911,no,no,telephone,7,jul,41,9,client was not previously contacted,0,unknown,False
30,management,single,tertiary,no,2995,yes,no,cellular,18,nov,329,1,client was not previously contacted,0,unknown,False
41,services,divorced,secondary,no,654,yes,no,cellular,13,may,139,2,client was not previously contacted,0,unknown,False
32,technician,single,secondary,no,68,no,yes,cellular,20,aug,237,4,client was not previously contacted,0,unknown,False
35,entrepreneur,single,tertiary,no,145,yes,no,cellular,18,jul,799,2,client was not previously contacted,0,unknown,True
36,management,married,tertiary,no,0,yes,no,unknown,2,jun,1576,3,client was not previously contacted,0,unknown,False
49,admin.,divorced,secondary,no,1320,no,no,cellular,21,nov,129,2,client was not previously contacted,0,unknown,False
56,retired,married,secondary,no,20,no,yes,cellular,19,aug,153,3,client was not previously contacted,0,unknown,False
61,admin.,married,unknown,no,1088,yes,no,cellular,20,may,254,1,359,1,failure,False
59,retired,divorced,primary,no,81,yes,no,unknown,5,may,107,1,client was not previously contacted,0,unknown,False
35,entrepreneur,married,tertiary,no,1859,yes,no,cellular,7,apr,157,1,267,2,failure,False
38,blue-collar,married,secondary,no,530,yes,no,cellular,20,apr,59,3,client was not previously contacted,0,unknown,False
40,blue-collar,married,secondary,no,1938,yes,no,cellular,7,may,228,1,client was not previously contacted,0,unknown,False
44,blue-collar,married,primary,no,420,yes,no,unknown,7,may,110,2,client was not previously contacted,0,unknown,False
56,services,married,secondary,no,2658,yes,no,unknown,15,may,302,1,client was not previously contacted,0,unknown,False
28,technician,single,secondary,no,3,yes,no,cellular,14,may,190,2,client was not previously contacted,0,unknown,False
32,student,single,unknown,no,4110,no,no,cellular,6,feb,119,8,client was not previously contacted,0,unknown,False
48,management,married,tertiary,no,1519,no,no,cellular,25,aug,360,5,client was not previously contacted,0,unknown,False
36,admin.,married,secondary,no,39,yes,no,cellular,7,apr,194,2,client was not previously contacted,0,unknown,False
58,retired,married,secondary,no,188,no,no,cellular,14,aug,141,2,client was not previously contacted,0,unknown,False
24,admin.,married,secondary,no,230,yes,no,cellular,15,may,73,1,client was not previously contacted,0,unknown,False
31,blue-collar,single,primary,no,2488,yes,no,cellular,20,apr,14,1,client was not previously contacted,0,unknown,False
34,entrepreneur,married,primary,no,7279,yes,no,cellular,12,may,882,1,client was not previously contacted,0,unknown,True
30,management,single,tertiary,no,604,no,yes,cellular,2,feb,475,1,client was not previously contacted,0,unknown,False
