age,type of job,marital status,education,has credit in default?,"average yearly balance, in euros",has housing loan?,has personal loan?,contact communication type,last contact day of the month,last contact month of year,"last contact duration, in seconds",number of contacts performed during this campaign and for this client,number of days that passed by after the client was last contacted from a previous campaign,number of contacts performed before this campaign and for this client,outcome of the previous marketing campaign,label
53,management,married,tertiary,no,12,no,no,cellular,27,aug,345,10,client was not previously contacted,0,unknown,False
32,management,single,secondary,no,916,yes,no,unknown,16,may,381,2,client was not previously contacted,0,unknown,False
35,technician,married,secondary,no,712,yes,no,unknown,27,may,266,4,client was not previously contacted,0,unknown,False
48,retired,married,secondary,no,67,no,no,telephone,14,jul,251,2,client was not previously contacted,0,unknown,False
36,blue-collar,married,secondary,no,89,yes,no,cellular,7,may,62,6,366,2,failure,False
53,admin.,divorced,secondary,no,1151,yes,no,unknown,5,may,412,1,client was not previously contacted,0,unknown,False
30,management,single,secondary,no,269,no,yes,cellular,7,jul,1165,2,client was not previously contacted,0,unknown,False
48,admin.,divorced,secondary,no,362,no,no,cellular,13,aug,529,1,client was not previously contacted,0,unknown,True
85,retired,married,primary,no,1255,no,no,cellular,15,jan,233,3,client was not previously contacted,0,unknown,True
26,student,single,secondary,no,141,no,no,cellular,22,jul,128,1,client was not previously contacted,0,unknown,False
38,management,single,tertiary,no,889,no,no,unknown,19,may,197,4,client was not previously contacted,0,unknown,False
68,retired,married,tertiary,no,2812,no,no,cellular,4,aug,651,1,1,7,success,True
34,admin.,married,tertiary,no,882,no,no,cellular,13,aug,135,1,113,5,success,False
31,admin.,single,secondary,no,396,yes,no,unknown,19,may,104,1,client was not previously contacted,0,unknown,False
50,management,married,unknown,no,0,no,no,cellular,9,jul,99,2,client was not previously contacted,0,unknown,False
47,services,married,secondary,no,0,yes,no,cellular,9,jul,173,1,client was not previously contacted,0,unknown,False
33,admin.,divorced,secondary,no,392,yes,yes,unknown,26,may,245,3,client was not previously contacted,0,unknown,False
25,management,single,tertiary,no,530,no,no,cellular,26,may,88,1,client was not previously contacted,0,unknown,False
42,entrepreneur,married,secondary,no,-480,yes,yes,unknown,2,jun,351,6,client was not previously contacted,0,unknown,False
22,student,single,unknown,no,549,no,no,cellular,2,sep,154,1,client was not previously contacted,0,unknown,False
37,blue-collar,single,secondary,no,5818,no,no,unknown,17,jun,652,2,client was not previously contacted,0,unknown,False
48,blue-collar,married,primary,no,147,no,no,cellular,19,aug,158,8,client was not previously contacted,0,unknown,False
28,unemployed,married,secondary,no,-353,no,yes,cellular,21,jul,299,1,client was not previously contacted,0,unknown,False
28,blue-collar,single,primary,no,643,yes,no,unknown,15,may,297,1,client was not previously contacted,0,unknown,False
30,services,married,secondary,no,2191,yes,no,cellular,13,may,157,4,client was not previously contacted,0,unknown,False
44,technician,single,tertiary,no,643,no,no,cellular,26,may,222,3,client was not previously contacted,0,unknown,False
32,technician,single,tertiary,no,1212,yes,no,unknown,23,may,463,2,client was not previously contacted,0,unknown,False
35,technician,married,tertiary,no,944,no,no,cellular,8,aug,351,2,client was not previously contacted,0,unknown,False
30,admin.,single,secondary,no,-213,yes,yes,unknown,27,may,751,1,client was not previously contacted,0,unknown,True
37,blue-collar,married,secondary,no,965,yes,no,cellular,28,jul,119,4,client was not previously contacted,0,unknown,False
22,student,single,secondary,no,4038,yes,no,cellular,15,may,1380,1,client was not previously contacted,0,unknown,False
39,blue-collar,divorced,secondary,yes,-202,yes,yes,cellular,15,may,157,4,client was not previously contacted,0,unknown,False
44,management,married,tertiary,no,1732,yes,no,unknown,30,may,43,1,client was not previously contacted,0,unknown,False
27,management,single,tertiary,no,541,yes,no,unknown,12,may,145,1,client was not previously contacted,0,unknown,False
25,services,single,secondary,no,156,yes,yes,cellular,25,jul,602,5,client was not previously contacted,0,unknown,False
40,technician,married,primary,no,644,yes,no,cellular,16,apr,118,2,336,1,failure,False
40,services,married,unknown,no,88,yes,no,unknown,9,jun,78,2,client was not previously contacted,0,unknown,False
42,management,single,tertiary,no,10907,no,no,cellular,4,may,74,3,client was not previously contacted,0,unknown,False
28,unemployed,single,secondary,no,23,no,no,cellular,28,jan,154,1,client was not previously contacted,0,unknown,False
25,technician,single,tertiary,no,468,yes,no,unknown,15,may,147,1,client was not previously contacted,0,unknown,False
63,retired,married,secondary,no,708,no,no,cellular,17,nov,168,2,client was not previously contacted,0,unknown,False
31,management,single,tertiary,no,5691,yes,no,cellular,21,nov,37,2,123,1,failure,False
27,admin.,single,secondary,no,110,yes,no,unknown,28,may,135,1,client was not previously contacted,0,unknown,False
28,blue-collar,married,secondary,no,1843,yes,no,cellular,20,apr,415,2,client was not previously contacted,0,unknown,False
19,student,single,primary,no,245,no,no,telephone,10,nov,98,2,110,2,other,False
41,services,divorced,secondary,no,83,no,no,unknown,20,may,834,6,client was not previously contacted,0,unknown,False
32,management,married,secondary,no,134,no,no,cellular,21,aug,181,4,client was not previously contacted,0,unknown,False
46,housemaid,married,primary,no,312,yes,yes,cellular,25,jul,137,7,client was not previously contacted,0,unknown,False
34,blue-collar,married,secondary,no,-257,yes,no,cellular,15,may,160,1,368,4,failure,False
50,services,married,tertiary,no,218,yes,no,unknown,9,may,388,2,client was not previously contacted,0,unknown,False
59,blue-collar,married,secondary,no,104,yes,no,unknown,2,jun,92,5,client was not previously contacted,0,unknown,False
58,blue-collar,married,primary,no,1231,no,no,unknown,20,jun,21,3,client was not previously contacted,0,unknown,False
45,blue-collar,married,secondary,no,90,yes,no,unknown,29,may,744,6,client was not previously contacted,0,unknown,False
30,technician,single,secondary,no,893,no,no,cellular,26,aug,45,3,client was not previously contacted,0,unknown,False
