age,type of job,marital status,education,has credit in default?,"average yearly balance, in euros",has housing loan?,has personal loan?,contact communication type,last contact day of the month,last contact month of year,"last contact duration, in seconds",number of contacts performed during this campaign and for this client,number of days that passed by after the client was last contacted from a previous campaign,number of contacts performed before this campaign and for this client,outcome of the previous marketing campaign,label
42,blue-collar,divorced,secondary,no,898,yes,no,cellular,18,nov,136,2,131,1,failure,False
37,admin.,married,secondary,no,11303,no,no,cellular,26,may,500,2,client was not previously contacted,0,unknown,False
59,management,married,tertiary,no,63,no,no,telephone,18,nov,89,1,client was not previously contacted,0,unknown,False
40,blue-collar,married,primary,no,3736,yes,no,unknown,19,may,29,3,client was not previously contacted,0,unknown,False
34,management,single,tertiary,no,178,yes,no,cellular,15,may,14,2,client was not previously contacted,0,unknown,False
38,admin.,married,secondary,no,47,yes,no,cellular,4,may,288,5,client was not previously contacted,0,unknown,True
44,blue-collar,single,primary,no,10984,no,no,unknown,20,jun,258,18,client was not previously contacted,0,unknown,False
56,blue-collar,married,unknown,no,3197,no,no,cellular,25,aug,83,13,client was not previously contacted,0,unknown,False
45,blue-collar,married,primary,no,678,no,no,cellular,5,aug,104,3,client was not previously contacted,0,unknown,False
35,management,married,secondary,no,0,yes,no,cellular,15,jul,490,5,client was not previously contacted,0,unknown,False
49,unemployed,single,tertiary,no,631,no,no,cellular,9,feb,140,6,12,1,other,False
25,blue-collar,married,primary,no,172,yes,no,unknown,29,may,95,3,client was not previously contacted,0,unknown,False
34,services,married,secondary,no,1337,no,no,cellular,17,dec,330,2,127,3,success,True
54,management,married,tertiary,no,7249,yes,yes,cellular,4,feb,102,2,77,1,failure,False
38,management,divorced,tertiary,no,0,yes,yes,cellular,4,dec,18,1,client was not previously contacted,0,unknown,False
55,technician,married,secondary,no,1205,yes,no,unknown,5,may,158,2,client was not previously contacted,0,unknown,False
47,blue-collar,married,primary,no,333,yes,no,cellular,21,nov,118,1,113,4,failure,False
23,student,single,secondary,no,1284,yes,no,unknown,11,jun,327,10,client was not previously contacted,0,unknown,False
32,services,married,secondary,no,1082,yes,no,cellular,19,nov,770,1,client was not previously contacted,0,unknown,False
