age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,label
56.0,technician,married,tertiary,no,1663.0,no,no,unknown,19.0,jun,22.0,1.0,-1.0,0.0,unknown,False
25.0,admin.,single,secondary,no,122.0,yes,no,unknown,6.0,may,286.0,1.0,-1.0,0.0,unknown,False
32.0,technician,married,secondary,no,20.0,no,no,cellular,20.0,aug,210.0,2.0,-1.0,0.0,unknown,False
36.0,admin.,divorced,secondary,no,181.0,yes,no,cellular,7.0,may,271.0,2.0,-1.0,0.0,unknown,False
40.0,services,married,secondary,no,87.0,yes,yes,cellular,31.0,jul,247.0,4.0,-1.0,0.0,unknown,False
40.0,management,married,primary,no,738.0,yes,yes,cellular,2.0,apr,399.0,2.0,258.0,3.0,failure,False
53.0,retired,married,secondary,no,-27.0,no,no,unknown,13.0,may,209.0,9.0,-1.0,0.0,unknown,False
34.0,management,married,tertiary,no,490.0,yes,no,cellular,2.0,feb,491.0,1.0,-1.0,0.0,unknown,False
72.0,management,married,secondary,no,6199.0,no,no,cellular,3.0,sep,531.0,1.0,-1.0,0.0,unknown,False
46.0,housemaid,single,tertiary,no,3232.0,no,no,telephone,15.0,jun,94.0,2.0,-1.0,0.0,unknown,False
59.0,management,divorced,tertiary,no,17056.0,yes,no,cellular,20.0,nov,470.0,2.0,-1.0,0.0,unknown,False
28.0,technician,single,secondary,no,440.0,no,yes,cellular,5.0,feb,177.0,2.0,-1.0,0.0,unknown,False
50.0,entrepreneur,divorced,tertiary,no,816.0,no,no,cellular,19.0,nov,630.0,1.0,-1.0,0.0,unknown,False
52.0,management,married,tertiary,no,258.0,no,no,unknown,14.0,may,188.0,1.0,-1.0,0.0,unknown,False
41.0,management,married,tertiary,no,4063.0,yes,no,cellular,12.0,may,14.0,5.0,172.0,2.0,failure,False
31.0,admin.,single,tertiary,no,1531.0,yes,no,unknown,28.0,may,48.0,5.0,-1.0,0.0,unknown,False
41.0,technician,married,secondary,no,-378.0,yes,no,cellular,5.0,feb,361.0,1.0,253.0,2.0,failure,False
34.0,admin.,single,secondary,no,1.0,no,no,unknown,25.0,jun,247.0,1.0,-1.0,0.0,unknown,False
38.0,blue-collar,married,primary,no,10443.0,no,no,cellular,19.0,nov,370.0,1.0,-1.0,0.0,unknown,False
52.0,retired,married,secondary,no,1052.0,yes,no,unknown,29.0,may,35.0,1.0,-1.0,0.0,unknown,False
57.0,housemaid,married,primary,no,1969.0,no,no,cellular,14.0,aug,286.0,3.0,-1.0,0.0,unknown,False
35.0,management,divorced,tertiary,no,36.0,yes,no,unknown,13.0,may,182.0,6.0,-1.0,0.0,unknown,False
35.0,technician,married,secondary,no,1092.0,no,no,cellular,18.0,may,132.0,1.0,360.0,1.0,failure,False
60.0,technician,married,secondary,no,851.0,no,yes,cellular,18.0,jul,112.0,2.0,-1.0,0.0,unknown,False
52.0,services,married,tertiary,no,3094.0,yes,no,cellular,17.0,nov,96.0,1.0,-1.0,0.0,unknown,False
42.0,self-employed,married,tertiary,no,753.0,no,no,unknown,17.0,jun,31.0,1.0,-1.0,0.0,unknown,False
25.0,management,single,tertiary,no,710.0,no,no,unknown,9.0,jul,119.0,1.0,-1.0,0.0,unknown,False
33.0,blue-collar,married,secondary,no,932.0,yes,no,unknown,21.0,may,226.0,1.0,-1.0,0.0,unknown,False
52.0,entrepreneur,married,primary,no,2138.0,no,no,unknown,17.0,jun,134.0,1.0,-1.0,0.0,unknown,False
30.0,technician,married,secondary,no,207.0,yes,no,unknown,23.0,may,72.0,2.0,-1.0,0.0,unknown,False
40.0,management,married,tertiary,no,-83.0,yes,yes,cellular,11.0,jul,131.0,2.0,-1.0,0.0,unknown,False
45.0,blue-collar,married,secondary,no,4111.0,yes,no,unknown,19.0,may,211.0,2.0,-1.0,0.0,unknown,False
57.0,management,married,secondary,no,123.0,no,no,cellular,2.0,feb,154.0,2.0,-1.0,0.0,unknown,False
27.0,unemployed,single,tertiary,no,1.0,no,no,cellular,3.0,feb,65.0,2.0,-1.0,0.0,unknown,False
45.0,blue-collar,divorced,secondary,no,9.0,yes,no,unknown,16.0,may,277.0,6.0,-1.0,0.0,unknown,False
53.0,blue-collar,divorced,primary,no,255.0,yes,no,unknown,8.0,may,206.0,2.0,-1.0,0.0,unknown,False
37.0,services,divorced,secondary,no,241.0,yes,no,cellular,14.0,may,189.0,1.0,371.0,1.0,failure,False
49.0,management,married,tertiary,no,2139.0,no,no,cellular,5.0,aug,278.0,1.0,-1.0,0.0,unknown,False
39.0,management,married,tertiary,no,5495.0,yes,no,cellular,19.0,aug,391.0,6.0,-1.0,0.0,unknown,False
45.0,housemaid,married,secondary,no,870.0,no,yes,unknown,19.0,jun,258.0,2.0,-1.0,0.0,unknown,False
76.0,housemaid,married,primary,no,1483.0,no,no,cellular,2.0,aug,90.0,4.0,-1.0,0.0,unknown,False
29.0,blue-collar,married,primary,no,787.0,yes,no,cellular,24.0,jul,257.0,2.0,-1.0,0.0,unknown,False
34.0,technician,married,secondary,no,0.0,yes,no,cellular,23.0,jul,429.0,1.0,-1.0,0.0,unknown,False
33.0,technician,married,secondary,no,362.0,no,yes,cellular,26.0,aug,160.0,6.0,-1.0,0.0,unknown,False
33.0,services,married,secondary,yes,2.0,no,no,cellular,6.0,may,136.0,5.0,-1.0,0.0,unknown,False
32.0,technician,married,secondary,no,765.0,yes,yes,cellular,14.0,apr,850.0,2.0,-1.0,0.0,unknown,True
31.0,services,divorced,secondary,no,1656.0,yes,no,unknown,9.0,may,208.0,3.0,-1.0,0.0,unknown,False
39.0,admin.,married,secondary,no,973.0,yes,no,cellular,2.0,sep,172.0,4.0,-1.0,0.0,unknown,False
57.0,housemaid,divorced,primary,no,0.0,no,no,unknown,9.0,jun,97.0,1.0,-1.0,0.0,unknown,False
40.0,admin.,divorced,secondary,no,1000.0,yes,no,unknown,14.0,may,98.0,1.0,-1.0,0.0,unknown,False
22.0,student,single,secondary,no,111.0,yes,no,unknown,4.0,jun,89.0,1.0,-1.0,0.0,unknown,False
45.0,entrepreneur,married,primary,no,1953.0,yes,no,unknown,15.0,may,95.0,3.0,-1.0,0.0,unknown,False
63.0,retired,divorced,primary,no,1840.0,no,no,cellular,12.0,mar,71.0,3.0,-1.0,0.0,unknown,False
54.0,blue-collar,married,unknown,no,-361.0,yes,no,unknown,26.0,may,227.0,1.0,-1.0,0.0,unknown,False
37.0,admin.,married,secondary,no,1559.0,no,no,cellular,27.0,may,81.0,1.0,-1.0,0.0,unknown,False
47.0,entrepreneur,married,secondary,no,583.0,yes,no,cellular,2.0,feb,495.0,1.0,258.0,2.0,failure,False
29.0,services,single,secondary,no,23.0,yes,yes,cellular,18.0,may,159.0,3.0,371.0,2.0,other,False
48.0,blue-collar,married,secondary,no,5306.0,yes,no,cellular,18.0,may,66.0,2.0,368.0,1.0,failure,False
30.0,blue-collar,married,secondary,no,203.0,yes,no,cellular,5.0,may,18.0,6.0,-1.0,0.0,unknown,False
31.0,self-employed,single,tertiary,no,217.0,no,no,cellular,19.0,nov,501.0,4.0,-1.0,0.0,unknown,False
48.0,blue-collar,married,primary,no,3304.0,no,no,unknown,11.0,jun,409.0,3.0,-1.0,0.0,unknown,False
31.0,unemployed,single,secondary,no,8.0,yes,no,unknown,2.0,jun,123.0,1.0,-1.0,0.0,unknown,False
41.0,technician,married,tertiary,no,816.0,yes,yes,unknown,29.0,may,159.0,1.0,-1.0,0.0,unknown,False
33.0,unemployed,married,secondary,yes,-108.0,yes,yes,cellular,19.0,nov,286.0,3.0,-1.0,0.0,unknown,False
53.0,management,married,tertiary,no,241.0,yes,no,cellular,19.0,nov,137.0,1.0,-1.0,0.0,unknown,False
59.0,management,married,tertiary,no,261.0,yes,yes,cellular,21.0,nov,124.0,1.0,-1.0,0.0,unknown,False
46.0,blue-collar,married,primary,no,3969.0,no,no,telephone,7.0,jul,46.0,5.0,-1.0,0.0,unknown,False
34.0,blue-collar,married,secondary,no,2447.0,yes,no,cellular,14.0,may,330.0,2.0,-1.0,0.0,unknown,False
39.0,blue-collar,married,secondary,no,-220.0,yes,no,cellular,14.0,may,282.0,1.0,352.0,2.0,failure,False
27.0,housemaid,married,primary,no,3.0,yes,yes,cellular,30.0,jul,64.0,4.0,-1.0,0.0,unknown,False
31.0,blue-collar,single,primary,no,2369.0,yes,yes,cellular,20.0,nov,470.0,2.0,-1.0,0.0,unknown,False
29.0,admin.,single,secondary,no,1070.0,yes,no,unknown,19.0,may,30.0,1.0,357.0,1.0,other,True
41.0,technician,married,secondary,no,225.0,yes,yes,unknown,8.0,may,63.0,2.0,-1.0,0.0,unknown,False
55.0,management,divorced,tertiary,no,608.0,yes,no,cellular,7.0,may,161.0,2.0,-1.0,0.0,unknown,False
37.0,management,single,secondary,no,24.0,yes,yes,cellular,11.0,aug,232.0,4.0,-1.0,0.0,unknown,False
49.0,entrepreneur,married,primary,no,282.0,yes,yes,cellular,13.0,may,99.0,1.0,-1.0,0.0,unknown,False
58.0,technician,married,primary,no,4198.0,no,no,cellular,15.0,oct,441.0,5.0,246.0,5.0,failure,True
54.0,self-employed,single,tertiary,no,760.0,no,no,telephone,21.0,nov,336.0,1.0,-1.0,0.0,unknown,False
73.0,retired,married,tertiary,no,2575.0,no,no,cellular,17.0,aug,152.0,1.0,-1.0,0.0,unknown,False
46.0,services,married,unknown,no,854.0,yes,no,cellular,3.0,apr,478.0,3.0,-1.0,0.0,unknown,False
57.0,self-employed,married,secondary,no,65.0,no,yes,cellular,9.0,jul,171.0,1.0,-1.0,0.0,unknown,False
46.0,blue-collar,married,primary,no,2313.0,yes,no,cellular,12.0,may,788.0,2.0,-1.0,0.0,unknown,False
43.0,entrepreneur,married,secondary,no,3862.0,yes,no,unknown,3.0,jun,102.0,1.0,-1.0,0.0,unknown,False
45.0,blue-collar,married,primary,no,2128.0,yes,no,unknown,19.0,may,149.0,4.0,-1.0,0.0,unknown,False
31.0,technician,single,tertiary,yes,24.0,no,no,cellular,21.0,aug,246.0,2.0,-1.0,0.0,unknown,False
53.0,management,married,secondary,yes,-689.0,yes,no,unknown,13.0,may,242.0,1.0,-1.0,0.0,unknown,False
25.0,student,single,unknown,no,277.0,no,no,cellular,27.0,may,311.0,2.0,-1.0,0.0,unknown,True
44.0,technician,married,tertiary,no,964.0,no,no,cellular,29.0,jul,158.0,2.0,-1.0,0.0,unknown,False
36.0,technician,married,tertiary,no,4596.0,yes,no,cellular,16.0,apr,901.0,2.0,-1.0,0.0,unknown,True
35.0,entrepreneur,married,tertiary,no,0.0,no,no,cellular,18.0,nov,150.0,4.0,-1.0,0.0,unknown,False
41.0,unemployed,married,secondary,no,2081.0,yes,no,cellular,3.0,feb,53.0,3.0,-1.0,0.0,unknown,False
34.0,blue-collar,divorced,secondary,no,1780.0,yes,no,unknown,2.0,jun,187.0,9.0,-1.0,0.0,unknown,False
42.0,blue-collar,married,primary,no,1687.0,yes,no,cellular,18.0,may,14.0,3.0,178.0,3.0,other,False
43.0,technician,married,tertiary,no,1485.0,no,no,cellular,21.0,aug,180.0,2.0,-1.0,0.0,unknown,False
26.0,blue-collar,married,primary,no,755.0,yes,no,unknown,28.0,may,61.0,1.0,-1.0,0.0,unknown,False
28.0,technician,married,secondary,no,916.0,yes,no,cellular,15.0,may,191.0,1.0,371.0,2.0,other,False
37.0,blue-collar,married,secondary,no,2066.0,yes,yes,cellular,21.0,nov,10.0,7.0,113.0,5.0,failure,False
37.0,blue-collar,married,primary,no,89.0,yes,no,cellular,2.0,feb,393.0,1.0,245.0,4.0,failure,False
45.0,self-employed,married,secondary,no,845.0,no,no,unknown,20.0,jun,76.0,4.0,-1.0,0.0,unknown,False
31.0,services,divorced,unknown,no,0.0,no,yes,cellular,9.0,jul,138.0,1.0,-1.0,0.0,unknown,False
21.0,student,single,secondary,no,164.0,no,no,cellular,19.0,feb,78.0,5.0,-1.0,0.0,unknown,False
43.0,admin.,single,unknown,no,474.0,no,no,cellular,29.0,jan,571.0,1.0,-1.0,0.0,unknown,False
42.0,admin.,divorced,secondary,no,146.0,yes,no,unknown,14.0,may,148.0,2.0,-1.0,0.0,unknown,False
58.0,retired,married,unknown,no,0.0,no,no,cellular,20.0,aug,46.0,5.0,-1.0,0.0,unknown,False
54.0,services,single,secondary,no,8289.0,no,no,unknown,26.0,jun,133.0,2.0,-1.0,0.0,unknown,False
36.0,technician,single,secondary,no,7503.0,yes,no,unknown,4.0,jun,25.0,1.0,-1.0,0.0,unknown,False
48.0,blue-collar,married,primary,no,649.0,no,no,unknown,19.0,jun,136.0,2.0,-1.0,0.0,unknown,False
41.0,housemaid,married,primary,no,188.0,yes,yes,unknown,20.0,jun,10.0,14.0,-1.0,0.0,unknown,False
50.0,management,married,tertiary,no,4.0,no,no,cellular,17.0,nov,223.0,1.0,96.0,2.0,failure,False
34.0,technician,married,secondary,no,7487.0,no,no,cellular,7.0,aug,534.0,2.0,-1.0,0.0,unknown,False
40.0,unemployed,married,secondary,no,0.0,yes,no,cellular,19.0,nov,332.0,1.0,183.0,1.0,failure,False
48.0,blue-collar,married,secondary,no,1913.0,yes,no,unknown,15.0,may,115.0,1.0,-1.0,0.0,unknown,False
34.0,technician,married,secondary,no,-25.0,no,no,cellular,15.0,may,207.0,1.0,-1.0,0.0,unknown,False
47.0,management,married,tertiary,no,902.0,no,no,cellular,8.0,aug,75.0,3.0,-1.0,0.0,unknown,False
40.0,technician,married,secondary,no,66.0,yes,no,unknown,12.0,may,29.0,8.0,-1.0,0.0,unknown,False
76.0,management,married,unknown,no,1780.0,yes,no,telephone,23.0,apr,413.0,3.0,-1.0,0.0,unknown,True
47.0,management,divorced,tertiary,no,84.0,yes,no,unknown,9.0,may,229.0,5.0,-1.0,0.0,unknown,False
49.0,blue-collar,married,primary,no,3.0,no,yes,cellular,9.0,jul,1439.0,6.0,-1.0,0.0,unknown,True
44.0,services,divorced,secondary,no,130.0,yes,no,cellular,14.0,may,263.0,1.0,371.0,1.0,failure,False
46.0,admin.,married,secondary,no,-143.0,yes,no,unknown,23.0,may,1034.0,9.0,-1.0,0.0,unknown,False
28.0,blue-collar,married,secondary,no,-95.0,yes,no,unknown,13.0,may,200.0,1.0,-1.0,0.0,unknown,False
54.0,blue-collar,married,secondary,no,233.0,yes,no,unknown,19.0,may,220.0,3.0,-1.0,0.0,unknown,False
41.0,technician,married,secondary,no,1226.0,no,no,cellular,18.0,nov,261.0,1.0,-1.0,0.0,unknown,False
28.0,technician,single,secondary,no,216.0,yes,no,unknown,13.0,may,66.0,1.0,-1.0,0.0,unknown,False
43.0,admin.,single,secondary,no,275.0,yes,no,unknown,12.0,may,457.0,4.0,-1.0,0.0,unknown,False
45.0,blue-collar,married,secondary,no,-1400.0,yes,no,unknown,16.0,may,172.0,4.0,-1.0,0.0,unknown,False
45.0,blue-collar,married,primary,no,512.0,no,no,cellular,26.0,aug,123.0,2.0,-1.0,0.0,unknown,False
26.0,blue-collar,married,secondary,no,800.0,yes,no,unknown,15.0,may,219.0,1.0,-1.0,0.0,unknown,False
40.0,technician,married,secondary,no,694.0,yes,no,cellular,4.0,feb,97.0,4.0,196.0,5.0,failure,False
48.0,management,single,tertiary,no,399.0,no,yes,cellular,7.0,aug,126.0,1.0,-1.0,0.0,unknown,False
25.0,services,single,secondary,no,0.0,yes,no,cellular,7.0,may,282.0,1.0,-1.0,0.0,unknown,False
41.0,admin.,married,secondary,no,-396.0,yes,no,cellular,7.0,jul,104.0,4.0,-1.0,0.0,unknown,False
50.0,self-employed,married,secondary,no,3025.0,no,yes,cellular,6.0,aug,168.0,3.0,-1.0,0.0,unknown,False
29.0,management,single,tertiary,no,2344.0,yes,no,cellular,9.0,mar,265.0,2.0,-1.0,0.0,unknown,False
38.0,services,married,unknown,no,15.0,yes,no,cellular,18.0,may,233.0,1.0,-1.0,0.0,unknown,False
42.0,admin.,single,secondary,no,1451.0,yes,no,cellular,4.0,may,251.0,4.0,-1.0,0.0,unknown,True
51.0,blue-collar,married,primary,no,21614.0,no,no,cellular,29.0,aug,47.0,20.0,-1.0,0.0,unknown,False
36.0,services,divorced,secondary,no,-330.0,yes,yes,unknown,27.0,may,207.0,2.0,-1.0,0.0,unknown,False
48.0,services,single,unknown,no,5095.0,yes,no,unknown,16.0,jun,71.0,1.0,-1.0,0.0,unknown,False
33.0,admin.,divorced,secondary,no,212.0,yes,no,unknown,7.0,jan,23.0,1.0,-1.0,0.0,unknown,False
39.0,technician,single,tertiary,no,139.0,no,no,telephone,19.0,aug,328.0,1.0,79.0,1.0,failure,False
29.0,technician,single,secondary,no,525.0,yes,no,cellular,16.0,apr,228.0,2.0,-1.0,0.0,unknown,False
29.0,student,single,secondary,no,48.0,no,no,cellular,26.0,feb,51.0,1.0,-1.0,0.0,unknown,False
29.0,services,married,primary,no,321.0,yes,no,unknown,7.0,may,196.0,2.0,-1.0,0.0,unknown,False
34.0,admin.,single,secondary,yes,7.0,no,no,unknown,28.0,may,285.0,2.0,-1.0,0.0,unknown,False
40.0,management,married,tertiary,no,-130.0,yes,no,unknown,28.0,may,154.0,2.0,-1.0,0.0,unknown,False
71.0,retired,married,primary,no,4847.0,no,no,cellular,16.0,sep,657.0,2.0,-1.0,0.0,unknown,False
38.0,blue-collar,married,secondary,no,4586.0,yes,no,unknown,8.0,may,784.0,1.0,-1.0,0.0,unknown,False
40.0,management,married,tertiary,no,12409.0,yes,no,cellular,19.0,nov,140.0,1.0,99.0,2.0,failure,False
70.0,management,married,tertiary,no,13297.0,no,no,cellular,2.0,feb,579.0,2.0,-1.0,0.0,unknown,False
25.0,admin.,single,secondary,no,96.0,no,no,unknown,26.0,may,293.0,1.0,-1.0,0.0,unknown,False
29.0,technician,single,tertiary,no,433.0,yes,no,unknown,9.0,may,247.0,1.0,-1.0,0.0,unknown,False
