Recency - months since last donation,Frequency - total number of donation,Monetary - total blood donated in c.c.,Time - months since first donation,label
3,5,1250,38,False
0,2,500,4,False
16,6,1500,35,False
14,1,250,14,False
3,8,2000,50,False
14,18,4500,78,False
2,41,10250,98,True
23,1,250,23,False
16,11,2750,40,False
14,7,1750,26,False
23,38,9500,98,False
4,13,3250,39,True
16,1,250,16,False
11,4,1000,74,False
23,3,750,48,False
2,7,1750,14,True
21,3,750,70,False
2,11,2750,26,False
21,3,750,35,False
11,7,1750,62,True
11,5,1250,38,False
4,1,250,4,True
11,11,2750,38,False
2,2,500,10,True
6,3,750,14,False
4,1,250,4,False
16,3,750,21,False
14,16,4000,70,False
2,3,750,9,True
14,5,1250,14,False
7,5,1250,35,False
2,6,1500,28,False
23,4,1000,53,False
11,1,250,11,False
6,3,750,26,False
11,5,1250,35,False
2,4,1000,16,False
21,1,250,21,False
4,11,2750,61,False
21,3,750,38,False
9,1,250,9,False
2,12,3000,70,True
16,10,2500,62,False
2,14,3500,48,True
4,3,750,28,False
4,5,1250,23,True
2,2,500,4,False
2,2,500,22,False
11,3,750,23,False
5,6,1500,28,False
23,1,250,23,False
5,24,6000,79,False
2,1,250,2,False
4,23,5750,58,False
23,4,1000,45,False
14,3,750,21,False
2,7,1750,28,True
2,3,750,22,False
15,16,4000,82,False
21,2,500,26,False
3,1,250,3,True
16,6,1500,35,True
16,4,1000,23,False
11,3,750,15,False
2,2,500,4,False
38,1,250,38,False
2,1,250,2,True
16,6,1500,40,False
4,6,1500,14,False
2,7,1750,77,False
23,3,750,33,False
14,3,750,19,True
21,13,3250,57,False
14,4,1000,30,False
2,2,500,4,False
23,5,1250,33,False
2,11,2750,79,True
23,1,250,23,False
21,1,250,21,False
16,7,1750,38,False
23,2,500,87,False
4,9,2250,28,True
4,5,1250,16,True
11,3,750,23,False
11,2,500,70,False
16,2,500,16,False
2,6,1500,28,True
23,1,250,23,False
23,2,500,28,False
13,7,1750,76,False
21,1,250,21,False
4,7,1750,82,False
10,5,1250,38,False
11,3,750,76,False
11,1,250,11,False
23,3,750,41,False
9,3,750,52,False
4,11,2750,95,False
2,1,250,2,False
2,3,750,4,True
14,4,1000,22,True
2,9,2250,75,False
13,8,2000,26,False
2,7,1750,32,True
4,33,8250,98,True
4,2,500,41,False
11,4,1000,28,False
4,5,1250,35,True
23,2,500,28,False
2,5,1250,63,False
16,3,750,40,False
11,2,500,21,False
11,6,1500,28,False
23,1,250,23,False
2,43,10750,86,True
14,1,250,14,False
2,4,1000,16,False
4,4,1000,26,True
11,4,1000,34,False
23,8,2000,64,False
2,2,500,11,True
38,1,250,38,False
2,6,1500,26,True
4,4,1000,26,False
21,3,750,38,False
2,4,1000,16,False
16,5,1250,60,False
9,11,2750,49,True
7,12,3000,86,False
23,4,1000,87,False
35,3,750,64,False
11,1,250,11,False
14,16,4000,98,False
11,5,1250,18,False
12,11,2750,39,False
2,8,2000,28,True
21,3,750,35,False
16,10,2500,89,False
11,2,500,25,False
11,4,1000,16,True
11,7,1750,29,False
21,16,4000,64,False
14,1,250,14,False
4,2,500,4,False
11,5,1250,33,False
4,1,250,4,False
11,1,250,11,False
2,11,2750,28,False
4,5,1250,33,True
