Recency - months since last donation,Frequency - total number of donation,Monetary - total blood donated in c.c.,Time - months since first donation,label
16,3,750,50,False
9,9,2250,38,False
4,2,500,4,False
4,1,250,4,False
23,4,1000,52,False
11,1,250,11,False
4,2,500,4,True
25,6,1500,50,False
2,1,250,2,False
21,1,250,21,False
9,2,500,52,False
14,2,500,14,False
8,15,3750,77,False
14,3,750,79,False
11,3,750,76,False
11,3,750,28,False
2,4,1000,14,False
21,1,250,21,False
4,19,4750,69,True
9,1,250,9,False
2,6,1500,75,False
2,1,250,2,False
14,6,1500,51,False
1,13,3250,47,False
14,1,250,14,False
4,4,1000,43,True
3,17,4250,86,False
16,7,1750,93,False
14,7,1750,73,False
2,2,500,11,False
2,4,1000,11,False
1,14,3500,58,False
14,8,2000,46,False
11,16,4000,89,False
11,1,250,11,False
2,2,500,11,False
11,6,1500,26,False
18,2,500,23,False
4,1,250,4,False
4,2,500,9,True
14,5,1250,28,True
5,11,2750,75,False
14,1,250,14,False
3,21,5250,42,True
2,9,2250,36,False
4,5,1250,58,False
4,1,250,4,True
22,1,250,22,True
2,3,750,4,True
4,9,2250,52,False
2,3,750,14,False
4,5,1250,23,False
23,2,500,38,False
2,11,2750,41,True
21,1,250,21,False
11,2,500,11,False
9,5,1250,51,True
14,8,2000,50,True
4,10,2500,28,True
23,12,3000,86,False
4,6,1500,23,True
14,3,750,41,False
21,2,500,23,False
4,8,2000,46,True
6,17,4250,70,False
4,1,250,4,False
2,5,1250,16,False
23,8,2000,69,False
2,11,2750,88,False
16,3,750,21,True
23,1,250,23,False
9,2,500,16,True
23,1,250,23,False
2,16,4000,81,False
11,2,500,21,False
3,16,4000,74,False
4,4,1000,18,False
16,1,250,16,False
4,4,1000,4,True
2,1,250,2,False
11,1,250,11,True
23,2,500,26,False
11,8,2000,41,True
16,7,1750,64,False
4,11,2750,64,True
4,7,1750,58,False
16,3,750,35,False
11,6,1500,27,False
20,14,3500,69,True
2,2,500,2,False
12,12,3000,58,False
4,6,1500,28,True
72,1,250,72,False
14,1,250,14,False
9,5,1250,19,False
1,10,2500,43,True
21,6,1500,48,False
11,9,2250,72,True
2,3,750,77,False
2,6,1500,15,True
16,3,750,23,False
2,4,1000,26,False
16,1,250,16,False
14,3,750,33,False
8,10,2500,63,False
4,8,2000,48,True
14,13,3250,57,False
23,3,750,35,False
16,3,750,46,False
16,8,2000,28,False
23,19,4750,62,False
4,6,1500,30,False
23,6,1500,45,False
4,7,1750,32,True
14,4,1000,28,True
11,5,1250,50,False
11,24,6000,64,False
16,16,4000,77,False
2,3,750,16,True
2,4,1000,43,False
16,1,250,16,False
2,1,250,2,False
2,6,1500,41,True
16,7,1750,87,True
16,14,3500,83,False
2,6,1500,15,True
11,11,2750,42,False
11,5,1250,37,True
11,5,1250,35,False
2,6,1500,22,True
12,15,3750,71,False
0,3,750,4,False
2,1,250,2,False
4,2,500,30,False
16,3,750,86,False
11,3,750,16,True
4,4,1000,16,False
4,7,1750,52,False
4,1,250,4,False
16,1,250,16,False
2,12,3000,98,False
4,1,250,4,False
11,1,250,11,False
16,1,250,16,False
4,4,1000,14,True
2,50,12500,98,True
4,1,250,4,False
4,5,1250,11,True
21,3,750,26,False
21,2,500,21,False
11,1,250,11,False
21,1,250,21,False
21,1,250,21,False
2,4,1000,26,False
16,5,1250,27,False
4,6,1500,47,False
10,4,1000,16,False
14,5,1250,26,False
2,1,250,2,False
2,1,250,2,False
2,5,1250,33,True
14,2,500,14,False
2,12,3000,52,False
1,16,4000,35,True
2,11,2750,46,True
4,1,250,4,False
16,3,750,19,False
21,3,750,35,False
16,2,500,70,False
2,4,1000,16,True
11,1,250,11,False
23,1,250,23,False
14,3,750,26,False
14,2,500,21,True
0,8,2000,59,False
2,2,500,4,True
2,6,1500,28,True
14,7,1750,47,False
21,1,250,21,False
21,2,500,23,False
11,10,2500,35,False
4,2,500,9,False
2,4,1000,23,False
4,4,1000,4,False
4,2,500,4,False
14,3,750,35,False
14,8,2000,50,False
23,3,750,39,False
16,1,250,16,False
11,9,2250,33,False
23,1,250,23,False
16,8,2000,76,False
14,3,750,83,False
4,14,3500,86,False
4,1,250,4,False
4,1,250,4,False
4,9,2250,28,False
4,9,2250,46,False
4,1,250,4,True
16,4,1000,45,False
23,1,250,23,False
9,9,2250,45,False
2,12,3000,47,True
3,5,1250,26,False
21,3,750,40,False
14,5,1250,28,False
39,1,250,39,False
4,1,250,4,False
23,3,750,89,False
16,4,1000,33,False
4,5,1250,58,False
16,1,250,16,False
4,1,250,4,False
2,2,500,23,False
11,2,500,11,False
2,1,250,2,False
4,20,5000,69,True
23,2,500,23,False
2,6,1500,47,False
11,3,750,37,False
1,7,1750,57,False
2,7,1750,29,False
2,12,3000,95,False
3,5,1250,12,True
4,4,1000,41,False
2,4,1000,70,False
21,1,250,21,False
2,1,250,2,True
2,2,500,4,True
14,1,250,14,False
11,14,3500,73,True
2,5,1250,16,True
11,8,2000,48,False
4,10,2500,28,True
4,9,2250,55,False
4,3,750,71,False
11,2,500,26,False
4,1,250,4,False
11,3,750,40,True
2,13,3250,76,True
8,2,500,16,False
15,5,1250,33,False
23,6,1500,70,False
11,17,4250,79,True
4,8,2000,34,True
2,7,1750,77,False
4,9,2250,26,True
2,1,250,2,False
4,9,2250,40,False
4,1,250,4,True
4,6,1500,16,True
4,2,500,23,False
2,11,2750,40,True
16,1,250,16,False
2,2,500,10,False
9,4,1000,65,False
11,1,250,11,False
4,2,500,31,False
16,2,500,27,False
14,2,500,14,False
2,4,1000,14,True
11,4,1000,58,False
4,1,250,4,False
2,21,5250,52,True
2,2,500,4,True
2,2,500,2,False
2,1,250,2,False
11,22,5500,98,False
11,2,500,17,False
14,1,250,14,False
2,3,750,22,False
11,4,1000,59,False
12,13,3250,59,False
4,1,250,4,False
2,2,500,11,False
4,7,1750,28,False
3,2,500,23,False
9,8,2000,38,True
2,1,250,2,False
2,2,500,14,False
4,1,250,4,True
4,6,1500,14,False
21,7,1750,38,False
2,2,500,16,False
14,1,250,14,False
11,2,500,24,False
2,2,500,11,False
