Recency - months since last donation,Frequency - total number of donation,Monetary - total blood donated in c.c.,Time - months since first donation,label
2,1,250,2,False
23,3,750,89,False
4,3,750,24,False
11,8,2000,72,False
23,6,1500,70,False
23,3,750,28,False
2,9,2250,22,True
11,9,2250,33,False
16,6,1500,35,True
2,1,250,2,False
2,3,750,11,False
16,5,1250,27,False
7,10,2500,47,False
16,2,500,27,False
9,8,2000,38,True
2,5,1250,26,False
0,26,6500,76,True
2,1,250,2,False
14,1,250,14,False
9,9,2250,45,False
1,9,2250,51,False
8,8,2000,52,True
4,5,1250,34,False
11,10,2500,35,False
2,2,500,11,True
9,9,2250,54,False
2,1,250,2,True
2,1,250,2,False
16,1,250,16,False
4,11,2750,61,False
1,7,1750,57,False
16,1,250,16,False
