recency,frequency,monetary,time,label
23.0,19.0,4750.0,62.0,False
2.0,4.0,1000.0,26.0,False
7.0,5.0,1250.0,52.0,False
16.0,6.0,1500.0,81.0,False
16.0,1.0,250.0,16.0,False
2.0,3.0,750.0,52.0,False
2.0,11.0,2750.0,46.0,False
4.0,16.0,4000.0,70.0,True
2.0,2.0,500.0,10.0,True
23.0,1.0,250.0,23.0,False
14.0,5.0,1250.0,74.0,False
23.0,2.0,500.0,28.0,False
2.0,1.0,250.0,2.0,False
14.0,1.0,250.0,14.0,False
14.0,2.0,500.0,14.0,True
2.0,7.0,1750.0,14.0,True
3.0,8.0,2000.0,50.0,False
23.0,1.0,250.0,23.0,False
14.0,4.0,1000.0,23.0,True
38.0,1.0,250.0,38.0,False
1.0,14.0,3500.0,95.0,False
11.0,1.0,250.0,11.0,False
4.0,7.0,1750.0,52.0,False
20.0,14.0,3500.0,69.0,True
9.0,9.0,2250.0,38.0,False
4.0,9.0,2250.0,38.0,True
21.0,2.0,500.0,41.0,False
14.0,1.0,250.0,14.0,False
2.0,6.0,1500.0,15.0,True
2.0,5.0,1250.0,26.0,False
21.0,1.0,250.0,21.0,False
21.0,3.0,750.0,64.0,False
4.0,1.0,250.0,4.0,False
4.0,2.0,500.0,4.0,False
23.0,1.0,250.0,23.0,False
16.0,1.0,250.0,16.0,False
21.0,1.0,250.0,21.0,False
14.0,3.0,750.0,19.0,True
9.0,2.0,500.0,52.0,False
13.0,4.0,1000.0,21.0,False
14.0,18.0,4500.0,78.0,False
23.0,4.0,1000.0,53.0,False
10.0,5.0,1250.0,38.0,False
2.0,14.0,3500.0,48.0,True
2.0,2.0,500.0,4.0,False
16.0,1.0,250.0,16.0,False
16.0,3.0,750.0,23.0,False
4.0,6.0,1500.0,28.0,True
2.0,3.0,750.0,9.0,True
4.0,1.0,250.0,4.0,False
14.0,8.0,2000.0,26.0,False
14.0,4.0,1000.0,30.0,False
14.0,6.0,1500.0,51.0,False
2.0,6.0,1500.0,22.0,True
2.0,50.0,12500.0,98.0,True
21.0,2.0,500.0,35.0,False
5.0,14.0,3500.0,86.0,False
2.0,4.0,1000.0,16.0,False
23.0,2.0,500.0,87.0,False
2.0,6.0,1500.0,16.0,True
4.0,12.0,3000.0,88.0,False
4.0,2.0,500.0,4.0,False
18.0,2.0,500.0,23.0,False
2.0,1.0,250.0,2.0,False
11.0,1.0,250.0,11.0,False
14.0,2.0,500.0,16.0,False
4.0,6.0,1500.0,46.0,False
12.0,9.0,2250.0,60.0,False
2.0,1.0,250.0,2.0,False
4.0,1.0,250.0,4.0,False
2.0,5.0,1250.0,11.0,True
2.0,2.0,500.0,11.0,True
4.0,5.0,1250.0,16.0,True
16.0,3.0,750.0,35.0,False
16.0,7.0,1750.0,39.0,False
14.0,7.0,1750.0,26.0,False
14.0,1.0,250.0,14.0,False
11.0,6.0,1500.0,28.0,False
11.0,3.0,750.0,15.0,False
16.0,2.0,500.0,26.0,False
14.0,2.0,500.0,14.0,False
11.0,8.0,2000.0,72.0,False
2.0,11.0,2750.0,28.0,False
11.0,5.0,1250.0,38.0,False
2.0,7.0,1750.0,46.0,True
2.0,1.0,250.0,2.0,True
11.0,6.0,1500.0,26.0,False
0.0,13.0,3250.0,28.0,True
4.0,1.0,250.0,4.0,False
11.0,5.0,1250.0,33.0,False
2.0,4.0,1000.0,43.0,False
23.0,2.0,500.0,23.0,False
2.0,11.0,2750.0,41.0,True
14.0,2.0,500.0,14.0,False
2.0,4.0,1000.0,14.0,False
11.0,8.0,2000.0,52.0,True
1.0,14.0,3500.0,58.0,False
21.0,4.0,1000.0,52.0,False
9.0,2.0,500.0,52.0,False
2.0,9.0,2250.0,36.0,False
4.0,5.0,1250.0,46.0,False
6.0,17.0,4250.0,70.0,False
16.0,3.0,750.0,40.0,False
6.0,3.0,750.0,26.0,False
14.0,3.0,750.0,26.0,False
11.0,6.0,1500.0,27.0,False
4.0,11.0,2750.0,95.0,False
4.0,6.0,1500.0,35.0,True
4.0,1.0,250.0,4.0,False
4.0,7.0,1750.0,58.0,False
7.0,11.0,2750.0,89.0,False
11.0,2.0,500.0,70.0,False
23.0,3.0,750.0,40.0,False
16.0,1.0,250.0,16.0,False
4.0,5.0,1250.0,16.0,True
9.0,3.0,750.0,14.0,False
35.0,3.0,750.0,64.0,False
17.0,7.0,1750.0,58.0,True
4.0,2.0,500.0,41.0,False
4.0,2.0,500.0,30.0,False
14.0,16.0,4000.0,98.0,False
4.0,6.0,1500.0,30.0,False
2.0,6.0,1500.0,75.0,False
16.0,15.0,3750.0,87.0,False
11.0,8.0,2000.0,46.0,False
23.0,3.0,750.0,48.0,False
4.0,2.0,500.0,4.0,True
4.0,4.0,1000.0,34.0,True
