median income,median age,total rooms,total bedrooms,population,households,latitude,longitude,label
3.4659,31,2567,507,1198,499,32.78,-117.02,False
4.9808,28,1321,240,652,239,36.99,-122.01,True
4.8073,11,1554,260,793,233,38.28,-121.29,False
3.0197,26,1906,408,1325,427,33.21,-117.26,False
3.8542,15,2485,434,1296,434,37.66,-120.96,False
2.5743,9,2536,499,832,385,34.59,-120.14,True
3.6953,26,2678,702,3262,685,33.76,-117.9,False
1.6607,16,975,219,337,155,38.99,-122.52,False
3.6106,18,2825,660,1590,643,33.92,-117.95,False
3.0208,32,1020,215,421,198,41.06,-124.14,False
1.675,5,111,26,58,25,37.93,-120.13,False
5.9617,26,2714,390,1232,409,37.97,-121.98,True
2.5187,18,1837,388,727,336,34.04,-117.33,False
3.8611,18,1894,319,846,317,35.4,-119.05,False
4.0909,52,2090,466,1219,390,34.14,-118.2,True
3.2154,20,17377,4457,7450,4204,34.17,-118.52,True
4.0781,36,1491,259,699,266,33.85,-118.15,True
3.3188,32,2915,492,1292,454,38.66,-121.3,False
5.1784,12,1600,251,685,256,33.87,-117.86,True
1.4375,17,871,379,955,351,32.75,-117.1,False
2.6951,44,2748,715,2962,703,33.97,-118.23,False
3.575,44,1449,291,676,282,37.33,-121.93,True
4.084,7,17579,3479,3581,1820,33.74,-116.38,True
3.5125,38,2263,522,1027,509,37.9,-122.3,True
4.3426,11,3127,706,1594,694,33.92,-117.95,False
2.6485,18,5527,1446,2883,1305,38.59,-121.41,False
4.2813,17,2385,372,1118,369,33.13,-117.05,False
7.7197,16,70,7,17,4,33.97,-118.43,True
1.1957,19,1393,367,915,355,37.74,-121.42,False
5.0915,31,2030,337,867,341,37.98,-122.0,True
2.85,22,5175,1213,2804,1091,37.95,-122.05,False
2.4286,34,2807,768,2217,744,33.82,-118.2,True
3.625,28,2453,648,1082,617,32.79,-117.23,True
2.444,17,4874,1349,5032,1243,33.71,-116.23,False
4.1053,5,2618,539,1320,512,33.14,-117.13,False
3.2222,6,1485,318,894,308,38.54,-121.96,False
5.6611,42,967,175,481,163,33.75,-118.3,True
1.5735,18,2123,606,1576,599,38.51,-121.46,False
3.024,36,1002,250,1312,249,34.27,-118.43,False
3.2321,20,2462,496,1117,458,34.09,-117.66,False
1.815,52,408,143,313,143,32.73,-117.17,False
4.0795,33,3507,669,1697,660,37.6,-122.49,True
2.8795,44,2060,414,819,355,36.33,-119.3,False
1.7266,21,1728,417,731,334,38.76,-120.59,False
4.0079,10,11836,2405,3811,1570,33.73,-116.38,False
2.1985,17,2206,478,1140,428,38.9,-123.69,False
3.0625,8,5690,1189,2887,1077,39.73,-121.79,False
1.8929,41,337,65,198,50,34.21,-118.36,False
6.0621,20,2403,376,1149,369,37.06,-122.0,True
5.5551,9,3811,605,1518,568,35.55,-117.68,False
3.2216,34,4183,702,1891,669,40.86,-124.06,False
6.314,9,13255,1739,5001,1627,38.7,-121.06,True
3.4773,31,3256,726,1595,706,32.79,-117.0,False
3.8506,22,7531,1569,5254,1523,33.76,-117.91,False
3.5,33,896,208,843,200,33.84,-118.29,True
3.0122,16,4112,880,2821,857,33.93,-117.46,False
2.4398,11,1337,412,1376,318,36.29,-120.27,False
3.4327,24,1324,267,687,264,33.77,-118.0,True
3.5719,19,5471,1345,2828,1247,33.73,-117.81,True
2.5,28,927,165,542,148,38.69,-121.43,False
