median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,longitude,label
2.1419,30.0,2188.0,455.0,1033.0,437.0,39.22,-121.08,False
4.6563,32.0,3485.0,678.0,1715.0,649.0,33.86,-118.32,True
6.2946,34.0,3931.0,622.0,1717.0,621.0,37.59,-122.41,True
2.1473,41.0,1182.0,346.0,1644.0,346.0,33.97,-118.24,False
8.1513,31.0,1448.0,244.0,607.0,259.0,33.88,-118.39,True
3.9408,46.0,695.0,136.0,408.0,148.0,37.09,-122.09,True
4.6477,36.0,2824.0,493.0,1394.0,507.0,33.86,-117.94,True
6.299,16.0,2876.0,391.0,1089.0,377.0,37.93,-121.93,True
4.0062,12.0,1321.0,268.0,661.0,232.0,39.22,-120.94,False
2.0182,36.0,1205.0,317.0,678.0,290.0,34.7,-118.14,False
3.1136,27.0,508.0,93.0,263.0,81.0,37.73,-120.86,True
3.5085,27.0,3894.0,776.0,1832.0,715.0,38.48,-122.87,True
4.7321,42.0,1275.0,272.0,451.0,200.0,36.96,-121.99,True
1.6667,50.0,1291.0,277.0,864.0,274.0,32.79,-115.57,False
2.3508,37.0,2868.0,574.0,2055.0,563.0,34.12,-117.32,False
8.1356,25.0,4919.0,661.0,2183.0,625.0,34.27,-118.55,True
2.5772,37.0,1976.0,481.0,1197.0,465.0,37.68,-122.11,False
4.6667,4.0,1078.0,158.0,571.0,184.0,32.72,-116.98,True
3.7625,10.0,1604.0,352.0,540.0,190.0,38.94,-120.72,False
5.93,16.0,2306.0,393.0,1368.0,387.0,33.87,-118.03,True
2.8175,22.0,4266.0,1010.0,2766.0,985.0,32.81,-116.94,False
1.6875,29.0,1877.0,516.0,1634.0,492.0,34.94,-120.44,False
6.1731,26.0,1279.0,163.0,412.0,157.0,34.12,-117.73,True
0.9708,21.0,1260.0,342.0,1167.0,310.0,33.95,-118.24,False
7.0813,30.0,2268.0,404.0,1197.0,372.0,37.3,-122.08,True
2.5792,16.0,1671.0,354.0,935.0,340.0,35.12,-120.61,False
3.274,30.0,4426.0,995.0,4196.0,921.0,33.89,-118.15,False
6.7613,29.0,2787.0,475.0,1182.0,444.0,33.86,-118.38,True
3.1563,37.0,1487.0,296.0,863.0,291.0,33.94,-118.32,True
5.5357,40.0,2085.0,329.0,796.0,339.0,37.91,-122.29,True
5.1298,17.0,2248.0,448.0,878.0,423.0,33.41,-117.59,True
2.3365,34.0,987.0,248.0,902.0,221.0,33.95,-118.27,False
4.3424,43.0,1005.0,199.0,723.0,191.0,33.82,-118.21,False
1.852,40.0,2099.0,599.0,2311.0,529.0,34.0,-118.27,False
2.5679,36.0,3504.0,862.0,2521.0,836.0,33.94,-118.3,False
3.5313,15.0,3221.0,659.0,1390.0,607.0,34.27,-118.67,True
3.9038,49.0,1230.0,279.0,669.0,269.0,34.04,-118.39,True
10.9052,23.0,4960.0,592.0,1929.0,586.0,34.26,-118.54,True
2.0313,17.0,1497.0,308.0,1425.0,247.0,36.57,-119.97,False
6.4271,34.0,1256.0,178.0,460.0,174.0,37.98,-122.49,True
5.3359,21.0,18132.0,5419.0,7431.0,4930.0,33.98,-118.44,True
3.625,37.0,934.0,231.0,587.0,230.0,34.19,-118.4,True
2.7368,23.0,2503.0,532.0,1735.0,505.0,33.92,-118.29,False
2.05,11.0,1607.0,478.0,1384.0,450.0,32.75,-117.11,False
1.6168,14.0,3182.0,730.0,2298.0,721.0,36.74,-120.04,False
2.774,38.0,2121.0,433.0,1547.0,441.0,35.39,-118.97,False
1.75,16.0,1667.0,372.0,762.0,283.0,37.34,-120.07,False
6.4333,16.0,3552.0,575.0,2120.0,573.0,34.02,-117.87,True
2.7451,42.0,1731.0,435.0,866.0,403.0,33.73,-118.3,True
1.9792,47.0,1551.0,362.0,1329.0,322.0,34.0,-118.31,False
5.6856,9.0,2254.0,400.0,694.0,243.0,39.36,-120.15,False
6.844,10.0,2499.0,331.0,1040.0,333.0,38.67,-121.08,True
1.0278,15.0,1204.0,326.0,543.0,326.0,32.76,-117.02,False
1.7829,45.0,1081.0,241.0,821.0,230.0,36.73,-119.77,False
3.2067,36.0,3791.0,746.0,2258.0,672.0,34.0,-117.51,False
4.0776,13.0,3756.0,648.0,1767.0,614.0,33.23,-117.24,True
1.886,23.0,3135.0,707.0,1650.0,680.0,37.99,-121.31,False
6.5987,24.0,3260.0,458.0,1383.0,442.0,33.72,-117.82,True
6.3735,8.0,614.0,118.0,278.0,115.0,38.09,-122.19,False
2.6734,31.0,2338.0,652.0,3289.0,631.0,33.74,-117.87,False
5.5105,26.0,1616.0,292.0,700.0,241.0,33.68,-117.97,True
7.3003,19.0,4976.0,711.0,1926.0,625.0,38.46,-122.68,True
2.2574,19.0,1853.0,415.0,772.0,397.0,38.62,-121.33,False
5.8666,37.0,1328.0,250.0,626.0,228.0,34.01,-118.45,True
2.225,41.0,98.0,20.0,68.0,19.0,37.64,-122.42,True
1.8472,52.0,1477.0,300.0,1065.0,269.0,37.78,-122.21,False
3.7188,8.0,16679.0,3457.0,7919.0,3329.0,38.62,-121.5,False
4.7773,37.0,997.0,262.0,531.0,282.0,33.74,-118.1,True
5.5137,15.0,2874.0,592.0,1382.0,586.0,33.63,-117.73,False
1.625,52.0,403.0,117.0,361.0,105.0,34.14,-118.15,True
1.9274,49.0,1916.0,447.0,863.0,378.0,37.84,-122.28,False
2.6937,45.0,4423.0,1001.0,2109.0,874.0,38.12,-122.27,False
1.8109,29.0,3497.0,1096.0,2994.0,919.0,33.79,-118.19,False
4.4464,52.0,1903.0,461.0,831.0,433.0,37.79,-122.44,True
3.575,18.0,1476.0,473.0,838.0,415.0,37.41,-122.09,True
4.1552,43.0,1663.0,330.0,935.0,335.0,37.74,-122.41,True
3.4455,10.0,3208.0,636.0,1395.0,582.0,33.14,-117.11,True
9.0702,43.0,4269.0,591.0,1467.0,582.0,34.17,-118.18,True
3.8117,14.0,5264.0,1064.0,3278.0,1049.0,35.33,-119.06,False
3.9286,10.0,1881.0,571.0,1769.0,553.0,33.81,-118.27,False
5.2131,5.0,6971.0,1449.0,3521.0,1423.0,33.87,-117.83,True
6.0582,39.0,440.0,83.0,270.0,97.0,37.97,-121.2,False
3.0598,13.0,1543.0,383.0,776.0,358.0,34.04,-117.67,False
2.1719,44.0,1375.0,351.0,766.0,321.0,38.57,-121.5,False
4.5526,10.0,2086.0,380.0,1073.0,378.0,38.67,-121.8,False
7.5,31.0,3136.0,431.0,1190.0,412.0,37.29,-122.01,True
1.3021,52.0,954.0,233.0,533.0,239.0,34.06,-117.18,False
3.6731,16.0,2947.0,802.0,1385.0,743.0,37.93,-122.48,True
4.5,11.0,2786.0,480.0,1250.0,450.0,33.36,-117.24,True
2.8299,43.0,2009.0,442.0,1095.0,439.0,33.96,-118.3,False
2.6316,34.0,1077.0,257.0,478.0,199.0,34.14,-118.02,True
