median income,median age,total rooms,total bedrooms,population,households,latitude,longitude,label
5.1583,8,1964,413,913,406,33.68,-117.81,True
4.4435,35,1517,257,658,245,34.14,-117.27,False
1.7708,9,818,197,358,197,39.52,-121.56,False
4.4209,33,2952,565,1264,517,36.49,-121.74,True
0.8056,48,1455,354,788,332,37.81,-122.3,False
3.875,32,1764,365,924,329,34.14,-117.88,True
3.5462,19,2629,494,1444,503,33.14,-117.08,False
3.5938,34,1636,358,977,357,33.9,-118.02,True
2.375,4,2,2,6,2,35.21,-117.79,False
5.543,34,1865,345,963,302,33.86,-118.36,True
5.1842,17,1893,297,936,287,33.15,-117.07,False
3.2059,47,1176,286,564,258,37.72,-122.47,True
2.3,40,1054,251,1056,276,34.17,-118.14,False
3.415,29,5474,1457,2352,1326,34.15,-118.44,True
2.1765,10,1686,414,1000,391,32.61,-117.07,False
5.8622,30,4713,758,2271,730,33.8,-117.83,True
1.517,36,1598,443,1658,417,35.75,-119.25,False
2.8438,33,2028,422,1727,371,34.05,-117.97,False
4.745,28,3580,611,1634,567,38.46,-122.81,True
4.2437,35,2323,406,1741,398,33.91,-118.03,False
5.8722,34,1428,227,890,249,34.05,-117.95,True
3.75,38,575,107,259,109,38.72,-121.9,True
7.2909,14,1087,165,365,176,36.82,-119.83,False
3.8125,27,1806,465,791,358,33.61,-117.93,True
3.6171,22,7828,2038,3303,1922,34.16,-118.45,True
1.4511,32,1268,283,549,273,36.96,-120.07,False
2.375,41,1545,420,747,415,32.76,-117.13,False
4.0221,16,3010,580,1649,538,33.61,-117.69,True
2.963,25,1612,313,837,303,39.77,-121.61,False
1.9762,32,555,159,748,163,34.06,-118.19,False
6.4468,43,2641,411,1011,444,33.83,-118.19,True
4.2132,2,4055,735,1730,654,36.83,-119.88,False
1.1667,52,275,123,273,111,34.15,-118.15,True
2.0187,39,1141,258,1313,234,33.94,-118.23,False
4.5625,33,3280,569,1583,559,37.27,-121.92,True
2.8893,39,1546,291,833,308,33.18,-117.36,True
3.2277,4,6712,1200,3126,1026,34.47,-117.54,False
5.6683,24,3308,548,1891,544,37.41,-121.87,True
3.5943,14,6787,1454,3416,1357,36.99,-121.98,True
1.5652,38,980,285,1308,310,34.02,-118.26,False
2.3824,27,2616,591,1889,577,32.58,-117.1,False
7.5402,13,3651,465,1311,435,33.08,-117.25,True
6.0398,19,1285,195,650,193,34.44,-118.53,True
3.1654,25,1122,198,564,213,38.6,-121.28,False
2.5119,26,1701,404,989,367,33.2,-117.24,False
4.7386,21,1062,179,631,185,37.16,-121.72,True
4.8787,33,2918,494,1365,478,34.7,-118.16,False
4.0458,12,5127,998,2749,976,38.32,-121.96,False
6.4288,46,2676,427,1022,395,34.2,-118.13,True
2.6812,19,3889,832,1872,731,35.42,-119.07,False
6.6779,5,1569,199,713,209,38.3,-122.03,True
2.065,26,2286,444,498,216,39.52,-120.51,False
2.0901,27,1827,509,852,450,38.56,-121.37,False
3.7375,29,850,229,563,204,33.88,-118.3,True
5.4592,27,3074,452,1223,452,35.39,-118.94,False
3.6196,38,1683,328,1369,339,33.99,-118.08,False
2.425,18,3578,720,1540,640,36.3,-119.26,False
1.1687,48,1498,448,1586,455,34.11,-117.29,False
5.5218,15,2576,418,1657,410,37.58,-122.08,True
4.1696,30,2628,444,1372,432,36.74,-121.64,False
8.1513,31,1448,244,607,259,33.88,-118.39,True
1.9208,33,2024,459,1019,422,39.44,-123.8,False
1.9318,30,1349,519,2646,552,33.79,-118.17,False
2.75,39,563,138,682,137,34.04,-118.17,False
8.4888,30,3763,717,1292,632,37.9,-122.45,True
3.835,43,2561,544,1063,537,33.84,-118.18,True
4.7143,35,1184,200,572,194,37.65,-122.09,True
2.9167,35,3451,713,1550,653,35.62,-120.69,False
2.8281,33,883,211,1007,210,34.05,-117.62,False
3.9667,27,1987,374,961,343,36.95,-122.04,True
0.9513,43,1286,360,972,345,36.72,-119.8,False
3.8611,32,965,183,568,188,38.7,-121.46,False
3.1806,24,856,185,388,108,38.93,-119.97,False
2.6386,38,1787,508,2113,530,37.32,-121.88,False
2.3693,11,2204,518,1472,497,32.86,-116.92,False
1.8438,17,1682,332,887,316,40.39,-122.29,False
2.3098,39,2451,649,2536,648,34.07,-118.04,False
2.5517,52,1736,358,638,297,38.05,-122.23,False
2.625,21,797,162,484,166,34.03,-117.98,True
2.375,10,2207,644,2232,543,34.95,-120.45,False
7.8997,36,6026,852,2314,892,37.58,-122.39,True
6.3434,52,2800,411,1061,403,37.85,-122.23,True
2.9044,43,396,91,261,73,34.02,-118.13,False
2.9076,24,2718,719,3018,644,34.24,-118.53,True
1.6488,22,1298,358,1272,363,34.65,-120.46,False
6.4092,14,2259,341,1127,346,38.15,-122.62,True
2.3357,48,1252,305,673,308,37.67,-122.09,False
3.5,32,1619,323,1492,342,34.04,-118.04,False
5.5137,15,2874,592,1382,586,33.63,-117.73,False
3.3611,36,1206,197,537,204,39.16,-121.58,False
2.7372,52,3084,698,1424,694,37.87,-122.27,True
2.625,47,881,248,753,241,37.78,-122.21,False
6.2185,15,5392,895,2531,827,33.88,-117.82,True
3.6486,25,6082,1763,2616,1644,34.16,-118.34,True
3.125,52,1164,257,575,251,34.08,-118.32,True
7.0813,30,2268,404,1197,372,37.3,-122.08,True
2.6847,18,3297,662,1554,578,40.99,-124.08,False
5.7409,19,3575,525,1654,559,33.19,-117.34,True
1.5613,16,1547,418,940,400,39.15,-121.63,False
2.2381,35,1133,296,774,271,33.86,-118.19,False
2.625,32,2618,692,1961,633,34.19,-118.53,True
5.2937,17,3208,617,2286,602,37.41,-121.96,True
1.8495,23,1864,937,2795,858,34.08,-118.29,True
4.4261,16,4636,908,2341,825,33.74,-117.98,True
2.5812,36,1390,458,874,468,34.09,-118.36,True
2.6316,46,2280,492,807,366,38.5,-122.94,False
3.1442,30,2370,412,1248,410,36.7,-119.57,False
4.1411,30,3082,602,2008,619,34.11,-117.88,True
4.0357,17,2026,338,873,313,40.74,-124.17,False
2.7321,31,1241,254,767,226,36.51,-119.81,False
2.3333,18,2821,628,1636,615,39.39,-123.34,False
6.6739,45,2375,417,751,410,34.13,-118.34,True
2.7284,21,1802,556,1286,557,33.96,-118.36,False
7.8774,15,1969,332,822,324,37.21,-122.09,True
3.3906,27,5257,1082,3496,1036,34.06,-118.14,True
8.4709,34,1443,218,504,200,37.38,-122.12,True
1.3289,38,1438,310,779,275,39.5,-121.54,False
3.631,5,623,146,396,136,33.68,-117.8,True
4.7875,46,2834,673,1175,670,33.76,-118.13,True
3.1406,20,1075,214,529,196,40.95,-124.16,False
4.3008,33,2854,489,1109,452,38.02,-121.33,False
10.5142,23,2597,335,922,338,37.34,-122.08,True
2.4464,36,2914,562,1236,509,37.81,-122.28,False
2.85,15,3061,1079,2173,1078,34.19,-118.58,True
3.1786,34,344,108,315,119,34.06,-117.73,False
4.9779,23,2395,498,1309,493,33.9,-118.34,True
12.0372,27,3385,427,1248,409,37.39,-122.13,True
4.6864,35,2606,447,1555,404,34.29,-118.44,True
