median income,median age,total rooms,total bedrooms,population,households,latitude,longitude,label
7.2211,23,1655,223,706,219,37.68,-121.92,True
4.6625,44,2324,413,823,375,38.6,-121.45,False
4.8286,17,4713,740,2531,723,32.87,-116.96,False
4.8274,21,1738,295,983,298,32.57,-117.12,False
2.2917,44,376,87,273,107,34.09,-117.28,False
1.755,47,1486,335,765,329,40.8,-124.15,False
2.6875,23,1494,275,678,235,36.27,-119.25,False
2.4263,32,1174,373,1758,361,33.97,-118.15,False
4.038,52,2657,772,1014,685,37.8,-122.42,True
8.1888,37,5477,833,1925,757,34.09,-118.53,True
2.3583,41,1045,233,632,230,37.37,-121.01,False
6.2064,29,3393,574,1471,587,34.17,-118.58,True
2.2155,31,2931,716,1969,588,35.35,-119.0,False
3.2355,30,3745,767,1762,748,36.66,-121.65,True
5.6677,26,2342,383,1290,394,33.86,-118.02,True
3.0476,45,3803,970,1690,871,34.02,-118.46,True
2.5434,28,2223,752,1271,684,34.1,-118.34,True
1.4833,23,1387,325,640,289,39.53,-121.65,False
3.3389,33,1782,394,1517,376,34.03,-117.95,False
2.6384,47,1147,297,1097,307,33.97,-118.22,False
2.3347,36,2341,520,2138,523,34.05,-117.66,False
3.775,9,2356,469,1556,386,34.43,-118.66,False
4.2386,44,2795,496,1235,469,34.16,-118.1,True
7.6091,43,2228,438,960,395,34.09,-118.6,True
3.4079,18,3469,661,1452,628,37.69,-121.0,False
2.1563,22,2623,732,1283,718,32.76,-117.13,False
4.0329,16,2331,450,1074,400,38.34,-121.97,False
5.3254,24,534,88,249,74,33.7,-117.88,True
2.6087,21,1937,389,1002,373,37.25,-121.0,False
3.8158,24,3865,802,2670,772,33.75,-117.98,True
3.8247,33,3910,838,2097,810,34.21,-118.55,True
4.6,27,1595,246,610,253,38.65,-121.34,True
10.5424,16,4392,602,1490,578,33.73,-118.06,True
3.8095,28,3513,634,1658,598,40.72,-124.02,False
6.3875,10,17820,2812,8686,2666,33.99,-117.86,True
3.3536,17,4505,1140,2111,1062,33.15,-117.34,True
1.7945,37,4291,1102,1941,953,34.01,-118.34,False
2.3456,12,1893,493,1054,389,34.13,-117.37,False
2.5357,33,1575,326,879,282,34.0,-117.06,False
5.195,23,2949,473,1671,477,33.86,-117.6,False
2.875,30,1835,474,934,415,32.76,-117.1,False
4.875,15,1613,303,702,240,32.91,-117.15,False
12.7823,38,3830,518,1292,516,34.13,-118.42,True
3.5139,31,2746,697,1973,598,33.93,-118.35,True
2.7778,19,1699,356,994,368,36.81,-119.73,False
6.4095,28,3840,629,1883,662,37.31,-121.98,True
2.0156,33,2048,585,2074,597,33.78,-118.16,False
5.6013,35,2828,487,1439,490,33.83,-118.36,True
6.3144,28,3952,592,1469,571,35.28,-120.62,True
2.7628,39,2955,696,1417,682,37.91,-122.31,False
3.3553,21,3465,639,2292,628,34.07,-117.45,False
