median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,longitude,label
15.0001,27.0,3979.0,510.0,1351.0,520.0,34.1,-118.4,True
10.8783,52.0,1335.0,151.0,402.0,157.0,37.79,-122.44,True
2.4896,26.0,2405.0,564.0,680.0,531.0,37.87,-122.08,False
3.1832,9.0,981.0,169.0,596.0,156.0,33.67,-117.31,False
4.8646,29.0,1061.0,202.0,759.0,206.0,32.58,-117.1,False
5.7385,28.0,2714.0,502.0,1389.0,490.0,37.25,-121.9,True
15.0001,34.0,2061.0,260.0,825.0,254.0,34.19,-118.19,True
5.0391,28.0,1731.0,295.0,810.0,295.0,37.91,-122.07,True
5.0869,23.0,3351.0,591.0,1535.0,522.0,34.02,-117.8,True
3.6083,38.0,2308.0,425.0,1272.0,406.0,38.28,-122.29,False
3.6442,43.0,1220.0,222.0,729.0,230.0,34.22,-118.4,True
4.3523,17.0,1697.0,268.0,911.0,254.0,32.99,-115.54,False
3.0536,34.0,1058.0,230.0,1043.0,229.0,34.05,-118.04,False
6.822,41.0,847.0,173.0,344.0,170.0,33.87,-118.43,True
3.4896,9.0,2200.0,422.0,938.0,369.0,38.68,-121.2,False
3.6458,35.0,1362.0,243.0,698.0,255.0,32.79,-117.13,False
1.7245,21.0,2046.0,580.0,952.0,353.0,38.95,-119.95,False
2.375,41.0,395.0,164.0,549.0,184.0,37.33,-121.88,False
2.3715,18.0,1892.0,568.0,974.0,553.0,37.29,-121.87,True
2.0586,28.0,1673.0,385.0,1434.0,371.0,36.13,-119.13,False
5.6346,36.0,1317.0,228.0,531.0,214.0,33.72,-117.6,True
5.7251,28.0,3688.0,633.0,1877.0,620.0,37.28,-121.98,True
4.0391,52.0,1916.0,432.0,889.0,424.0,37.74,-122.42,True
6.2162,16.0,3114.0,463.0,1641.0,469.0,33.71,-117.79,True
2.1136,23.0,666.0,142.0,580.0,160.0,32.8,-115.55,False
4.0238,19.0,2372.0,394.0,1142.0,365.0,37.02,-121.51,True
1.9718,46.0,1480.0,358.0,1511.0,348.0,34.05,-117.75,False
6.6012,6.0,9518.0,1418.0,4413.0,1275.0,32.99,-117.04,True
5.3428,23.0,4417.0,740.0,1865.0,693.0,33.7,-117.96,True
2.7262,34.0,2735.0,539.0,1390.0,491.0,38.36,-122.0,False
4.0568,52.0,2459.0,507.0,1012.0,475.0,37.75,-122.43,True
4.5833,36.0,3157.0,582.0,1842.0,561.0,33.77,-117.93,True
4.5042,9.0,2374.0,372.0,884.0,333.0,39.04,-121.07,True
3.7258,32.0,1993.0,388.0,1385.0,380.0,34.05,-117.96,True
3.375,52.0,674.0,180.0,647.0,168.0,37.79,-122.24,False
1.7734,23.0,951.0,235.0,806.0,222.0,36.3,-119.21,False
2.817,19.0,2248.0,427.0,1207.0,368.0,33.72,-117.29,False
1.7866,25.0,1316.0,836.0,2796.0,784.0,34.05,-118.27,True
9.267,33.0,2996.0,398.0,1048.0,387.0,33.75,-118.32,True
3.775,25.0,2208.0,477.0,1084.0,424.0,34.1,-117.87,True
3.5607,21.0,3691.0,640.0,1758.0,603.0,38.83,-121.21,False
4.5272,17.0,2193.0,386.0,1148.0,372.0,38.36,-121.29,True
2.9286,20.0,505.0,216.0,326.0,216.0,37.48,-122.21,True
3.0313,17.0,2677.0,531.0,1244.0,456.0,41.84,-124.3,False
14.4219,52.0,1659.0,191.0,519.0,201.0,37.56,-122.35,True
4.26,46.0,2223.0,361.0,968.0,373.0,34.02,-118.33,True
2.4464,25.0,3819.0,702.0,1983.0,658.0,39.23,-121.83,False
6.0901,8.0,3866.0,539.0,1555.0,513.0,37.95,-122.01,True
3.8703,23.0,2542.0,772.0,1720.0,675.0,33.73,-117.82,False
2.2917,37.0,1575.0,358.0,933.0,320.0,37.76,-122.18,False
3.724,15.0,8479.0,1759.0,5008.0,1646.0,38.14,-122.24,False
3.0503,25.0,4405.0,1262.0,2178.0,1090.0,33.77,-118.17,True
2.9137,46.0,1750.0,347.0,754.0,356.0,37.66,-120.99,False
1.6607,52.0,217.0,82.0,531.0,93.0,32.71,-117.15,False
2.5179,18.0,382.0,128.0,194.0,69.0,32.84,-116.28,False
3.75,36.0,2471.0,498.0,2594.0,475.0,33.73,-117.88,False
6.1437,17.0,4293.0,712.0,1091.0,464.0,33.78,-116.43,True
4.125,52.0,2616.0,473.0,1085.0,487.0,37.89,-122.28,True
4.7679,11.0,1112.0,164.0,441.0,174.0,32.72,-116.99,False
2.5,42.0,510.0,88.0,247.0,99.0,36.6,-119.45,False
4.6324,16.0,3741.0,698.0,1938.0,658.0,38.32,-122.69,True
4.3438,48.0,1301.0,253.0,637.0,260.0,34.16,-118.27,True
4.5461,42.0,3490.0,665.0,1713.0,620.0,34.16,-118.08,True
3.2375,17.0,2554.0,540.0,723.0,319.0,38.97,-122.7,False
2.6458,16.0,2930.0,1038.0,1648.0,980.0,34.1,-118.35,True
8.1596,36.0,2127.0,314.0,807.0,306.0,33.89,-118.4,True
3.1568,36.0,3495.0,641.0,1688.0,684.0,37.66,-121.02,False
3.5313,20.0,2025.0,328.0,1039.0,346.0,36.32,-119.33,False
3.5568,33.0,1409.0,307.0,633.0,290.0,36.6,-121.86,True
3.7235,48.0,1091.0,236.0,632.0,234.0,34.11,-118.16,True
3.2731,20.0,5998.0,1320.0,3185.0,1199.0,33.93,-117.45,False
3.1111,36.0,1950.0,365.0,1125.0,374.0,33.91,-118.25,False
4.8173,16.0,906.0,149.0,605.0,148.0,37.3,-121.8,True
4.4167,40.0,1880.0,377.0,1229.0,378.0,33.9,-118.1,False
3.8024,18.0,3038.0,592.0,1904.0,595.0,32.82,-116.95,False
3.4612,36.0,1191.0,266.0,718.0,248.0,34.22,-118.44,False
4.0495,12.0,2258.0,456.0,1147.0,433.0,33.14,-117.13,False
2.875,30.0,1835.0,474.0,934.0,415.0,32.76,-117.1,False
3.0972,34.0,1439.0,253.0,607.0,223.0,36.31,-119.29,False
3.9531,17.0,4363.0,1041.0,1640.0,989.0,37.89,-122.52,True
3.125,39.0,854.0,242.0,389.0,228.0,37.81,-122.25,True
3.6086,30.0,1680.0,469.0,1779.0,429.0,33.82,-118.22,False
4.1118,35.0,1341.0,233.0,898.0,216.0,34.03,-117.92,False
2.3523,37.0,2653.0,754.0,1087.0,698.0,33.77,-118.18,True
4.9335,13.0,5819.0,919.0,2228.0,866.0,33.23,-117.11,True
6.1419,26.0,3727.0,572.0,1724.0,530.0,34.23,-118.61,True
4.0125,37.0,1383.0,259.0,808.0,241.0,37.61,-122.03,False
2.3229,16.0,3498.0,702.0,2372.0,672.0,33.85,-117.28,False
1.6094,16.0,352.0,105.0,226.0,82.0,39.39,-120.91,False
3.8833,36.0,2058.0,423.0,1132.0,423.0,34.19,-118.48,True
11.9993,31.0,4803.0,575.0,1490.0,577.0,33.8,-118.45,True
1.9187,29.0,874.0,217.0,788.0,222.0,37.96,-121.24,False
6.0352,23.0,1894.0,416.0,769.0,392.0,34.12,-118.33,True
1.8993,17.0,1485.0,345.0,823.0,316.0,40.95,-124.1,False
1.847,18.0,3585.0,1661.0,5229.0,1534.0,34.05,-118.29,True
3.6667,7.0,9613.0,1666.0,4487.0,1653.0,35.52,-120.76,True
3.9063,25.0,1092.0,190.0,702.0,215.0,34.31,-119.29,True
9.7796,20.0,975.0,134.0,324.0,146.0,37.43,-122.21,True
3.5227,38.0,2040.0,458.0,1775.0,445.0,33.93,-118.13,True
3.2868,21.0,1724.0,317.0,1006.0,290.0,37.04,-120.25,False
2.9821,32.0,342.0,58.0,138.0,52.0,38.02,-121.27,False
2.1581,33.0,376.0,83.0,267.0,88.0,33.93,-116.98,False
2.8,18.0,2737.0,589.0,1128.0,533.0,35.65,-117.67,False
3.7262,20.0,1705.0,353.0,856.0,341.0,37.97,-122.07,True
10.1357,24.0,6097.0,794.0,2248.0,806.0,33.74,-118.32,True
3.3917,25.0,830.0,228.0,368.0,174.0,37.38,-122.08,True
4.7768,52.0,2962.0,557.0,1215.0,506.0,37.33,-121.92,True
2.375,20.0,4620.0,1042.0,1745.0,794.0,39.17,-123.73,False
4.8382,45.0,989.0,174.0,504.0,180.0,37.51,-122.25,True
3.8295,13.0,1330.0,216.0,719.0,215.0,32.72,-116.99,False
3.0833,25.0,1769.0,440.0,1371.0,414.0,33.89,-118.35,True
3.125,52.0,1350.0,266.0,490.0,257.0,38.06,-122.23,False
3.3636,43.0,1350.0,287.0,811.0,307.0,34.03,-118.37,False
1.5227,22.0,1540.0,364.0,610.0,268.0,33.89,-116.63,False
