median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,longitude,label
2.9554,52.0,1860.0,400.0,1215.0,367.0,36.84,-121.4,False
6.2185,15.0,5392.0,895.0,2531.0,827.0,33.88,-117.82,True
2.7222,24.0,3748.0,770.0,1827.0,719.0,36.8,-119.77,False
2.502,33.0,3585.0,757.0,1887.0,765.0,39.51,-121.54,False
2.0057,52.0,1230.0,262.0,609.0,243.0,37.96,-120.23,False
3.6618,14.0,1265.0,230.0,621.0,173.0,33.83,-117.2,False
2.6862,19.0,1793.0,447.0,1222.0,452.0,33.93,-118.13,True
9.8413,32.0,10626.0,1504.0,4353.0,1482.0,34.22,-118.19,True
3.4852,30.0,3078.0,954.0,1561.0,901.0,34.01,-118.48,True
1.925,45.0,995.0,238.0,630.0,237.0,37.76,-122.19,False
2.006,37.0,1470.0,399.0,1579.0,390.0,34.04,-118.3,False
3.4412,39.0,4645.0,1196.0,2156.0,1113.0,37.59,-122.37,True
9.8708,24.0,5948.0,738.0,1997.0,710.0,37.83,-122.03,True
3.125,40.0,1072.0,204.0,940.0,200.0,34.07,-118.15,True
1.825,37.0,1220.0,325.0,1472.0,323.0,32.71,-117.13,False
4.0391,52.0,1916.0,432.0,889.0,424.0,37.74,-122.42,True
2.5536,37.0,1453.0,293.0,867.0,310.0,40.78,-124.18,False
4.1656,24.0,3891.0,866.0,1568.0,830.0,34.15,-118.41,True
2.809,20.0,2850.0,737.0,1855.0,662.0,33.9,-118.15,False
3.7546,28.0,3264.0,576.0,1512.0,567.0,37.8,-121.2,False
2.6074,17.0,3759.0,1035.0,1722.0,847.0,34.1,-117.69,False
3.6471,19.0,3136.0,466.0,1631.0,484.0,37.32,-120.45,False
2.293,29.0,1479.0,338.0,1408.0,322.0,36.61,-120.19,False
2.3409,38.0,1241.0,298.0,1055.0,263.0,34.08,-118.19,False
1.6875,41.0,1749.0,342.0,1171.0,314.0,36.59,-119.45,False
3.625,24.0,1511.0,318.0,1052.0,292.0,37.09,-121.6,True
3.3125,51.0,1454.0,235.0,729.0,252.0,36.74,-119.77,False
3.016,35.0,2691.0,542.0,1409.0,505.0,38.02,-121.96,False
2.1354,29.0,2452.0,700.0,3029.0,665.0,34.05,-117.74,False
2.4722,52.0,3446.0,1360.0,1768.0,1245.0,34.06,-118.35,True
1.4712,44.0,1555.0,324.0,931.0,265.0,34.02,-118.31,False
4.775,24.0,3403.0,656.0,2829.0,612.0,37.29,-121.84,True
