buying,doors,maint,persons,safety_dict,lug_boot,label
high,4,vhigh,more,high,small,0
high,2,vhigh,2,low,small,0
high,3,vhigh,more,med,big,0
low,4,vhigh,2,high,med,0
high,2,low,4,high,big,1
med,4,med,more,low,small,0
low,5more,high,4,med,big,1
vhigh,2,high,4,med,small,0
low,3,high,4,high,big,3
med,5more,med,4,low,small,0
high,2,vhigh,more,high,small,0
vhigh,3,med,more,med,big,1
high,4,high,more,high,big,1
high,4,high,4,med,big,1
high,2,vhigh,more,med,small,0
vhigh,2,low,2,high,small,0
low,2,vhigh,more,low,med,0
med,2,vhigh,4,med,med,0
med,2,low,4,med,big,2
high,5more,low,more,high,big,1
low,2,med,4,low,big,0
med,5more,vhigh,more,low,med,0
vhigh,2,low,4,high,small,1
vhigh,3,low,4,high,med,1
med,5more,med,4,low,big,0
low,5more,med,more,med,med,2
low,3,low,2,high,med,0
low,3,high,2,high,big,0
vhigh,3,high,4,med,med,0
high,5more,low,4,low,big,0
vhigh,4,high,2,high,big,0
med,5more,med,more,med,small,1
high,3,vhigh,2,med,big,0
med,5more,high,4,low,med,0
high,4,high,4,med,med,1
high,4,high,more,med,med,1
low,3,low,more,low,big,0
high,3,vhigh,4,med,med,0
med,3,vhigh,4,low,small,0
high,3,vhigh,2,med,med,0
vhigh,3,vhigh,2,med,med,0
vhigh,4,med,2,high,med,0
high,4,med,more,high,med,1
high,3,low,more,high,big,1
low,4,med,2,high,med,0
low,2,vhigh,4,high,med,1
vhigh,5more,low,more,low,small,0
high,2,high,4,med,med,0
low,2,low,4,med,big,2
vhigh,2,med,4,high,med,1
vhigh,2,vhigh,more,high,big,0
low,5more,vhigh,2,low,big,0
med,5more,low,more,low,big,0
low,2,med,2,low,small,0
vhigh,2,high,more,med,small,0
low,4,med,more,high,big,3
vhigh,2,low,4,med,big,1
high,5more,low,2,low,med,0
low,2,low,2,med,big,0
low,3,med,more,med,med,2
med,3,med,2,low,med,0
high,4,high,4,high,med,1
low,5more,high,4,high,small,1
med,3,med,more,low,med,0
vhigh,5more,high,2,high,big,0
low,3,med,2,med,big,0
low,3,med,2,high,big,0
med,2,high,4,med,big,1
low,5more,med,2,low,big,0
med,2,low,more,low,med,0
low,2,med,4,high,big,3
high,5more,high,more,low,big,0
vhigh,2,high,4,low,med,0
med,5more,med,more,low,small,0
med,2,med,2,low,med,0
vhigh,5more,high,more,low,small,0
high,3,low,2,high,big,0
high,3,high,4,high,med,1
low,2,high,more,low,small,0
med,5more,low,more,high,small,2
med,2,low,4,high,big,3
low,4,low,2,high,small,0
vhigh,5more,low,2,med,big,0
high,2,vhigh,2,high,small,0
low,3,med,2,med,small,0
med,3,high,more,high,med,1
low,2,vhigh,2,med,small,0
low,2,med,2,high,med,0
low,3,vhigh,more,high,big,1
vhigh,5more,vhigh,more,high,med,0
high,2,high,4,med,small,0
high,5more,low,4,med,big,1
vhigh,5more,vhigh,more,high,big,0
high,5more,med,2,high,med,0
med,2,low,more,high,big,3
med,3,vhigh,4,med,med,0
vhigh,5more,med,more,high,big,1
med,4,low,more,med,small,1
low,5more,high,2,high,small,0
low,4,vhigh,2,med,small,0
high,5more,vhigh,more,med,small,0
high,4,low,2,med,med,0
vhigh,2,med,4,high,big,1
low,2,vhigh,2,low,big,0
low,3,high,more,high,big,3
low,2,low,more,med,big,2
high,4,vhigh,more,med,big,0
low,4,low,2,med,small,0
med,3,vhigh,2,high,med,0
low,3,med,more,med,small,1
high,2,high,4,high,big,1
high,4,high,4,high,big,1
vhigh,4,low,2,low,med,0
vhigh,2,high,2,high,big,0
low,4,vhigh,4,high,med,1
high,3,high,more,high,med,1
low,2,high,4,low,small,0
med,3,vhigh,more,low,small,0
med,3,high,2,high,med,0
low,2,vhigh,4,med,med,0
med,2,high,more,med,med,0
vhigh,3,vhigh,more,low,small,0
low,5more,low,4,high,med,3
high,2,high,4,med,big,1
vhigh,3,low,more,med,small,0
med,4,med,4,high,big,3
low,4,vhigh,more,high,small,1
vhigh,3,vhigh,4,high,small,0
high,5more,vhigh,2,low,med,0
med,3,med,4,med,small,1
vhigh,5more,high,2,high,small,0
high,3,vhigh,4,med,small,0
low,5more,med,more,high,med,3
med,5more,vhigh,2,low,big,0
vhigh,2,vhigh,2,low,small,0
vhigh,4,vhigh,2,low,small,0
med,2,low,4,low,big,0
vhigh,4,vhigh,more,med,big,0
vhigh,3,low,more,low,small,0
med,3,med,2,med,med,0
med,4,med,2,low,med,0
low,2,med,2,med,big,0
vhigh,4,med,2,low,med,0
med,5more,low,2,high,med,0
vhigh,3,med,more,low,small,0
med,2,low,2,low,big,0
med,4,vhigh,more,low,med,0
high,4,high,4,low,med,0
med,5more,low,4,med,small,1
low,2,low,4,high,med,2
med,2,low,more,med,med,1
med,4,med,2,med,small,0
low,4,high,more,low,small,0
low,4,high,4,high,big,3
vhigh,4,vhigh,4,med,small,0
high,5more,med,4,med,big,1
vhigh,4,low,4,low,big,0
low,3,vhigh,4,high,small,1
high,2,med,2,med,small,0
med,4,med,2,med,big,0
high,4,low,2,high,med,0
med,4,med,4,low,big,0
high,2,low,4,low,big,0
high,2,high,more,low,big,0
med,5more,vhigh,more,med,med,1
low,2,low,2,med,med,0
high,5more,low,4,med,med,1
med,5more,vhigh,2,low,med,0
vhigh,4,high,more,med,big,0
low,4,low,more,med,med,2
med,3,high,2,low,small,0
low,3,med,more,high,small,2
low,2,med,2,high,big,0
high,4,vhigh,4,med,med,0
med,4,vhigh,2,med,med,0
low,4,low,more,high,big,3
high,5more,low,more,med,small,0
low,4,low,4,med,big,2
vhigh,3,vhigh,2,high,small,0
high,5more,med,2,low,big,0
vhigh,3,low,4,high,small,1
med,2,high,2,med,small,0
vhigh,4,low,2,high,big,0
high,5more,high,4,med,med,1
low,5more,vhigh,2,med,small,0
high,3,med,4,high,med,1
med,2,med,4,low,med,0
vhigh,2,med,4,high,small,1
low,5more,vhigh,more,med,small,0
low,2,med,2,med,med,0
high,3,vhigh,more,med,small,0
high,3,med,2,med,small,0
vhigh,5more,high,4,low,med,0
high,3,low,more,med,med,1
low,4,vhigh,2,low,big,0
high,5more,med,2,high,big,0
vhigh,5more,high,2,low,med,0
low,2,med,4,low,med,0
med,4,vhigh,more,med,big,1
med,4,vhigh,4,low,med,0
low,3,med,more,low,small,0
vhigh,2,med,more,med,big,1
vhigh,3,high,2,low,small,0
low,4,low,4,low,small,0
low,4,med,2,med,big,0
med,5more,med,more,med,med,1
low,5more,med,more,high,big,3
low,3,vhigh,more,med,small,0
vhigh,2,low,2,low,med,0
med,3,vhigh,4,med,small,0
low,5more,high,more,med,small,1
high,3,high,2,med,med,0
vhigh,5more,low,4,med,big,1
low,2,low,4,med,med,1
low,2,vhigh,2,low,med,0
low,5more,vhigh,2,high,med,0
vhigh,4,med,4,high,small,1
low,3,vhigh,2,med,med,0
low,5more,high,more,low,med,0
low,2,high,more,low,med,0
vhigh,5more,med,4,med,med,1
high,5more,vhigh,more,low,small,0
vhigh,2,high,4,med,big,0
vhigh,3,med,2,low,big,0
low,5more,med,more,high,small,2
med,4,low,more,med,med,2
vhigh,3,low,2,low,med,0
low,5more,low,2,low,big,0
low,5more,low,4,low,med,0
high,2,med,more,low,med,0
vhigh,4,vhigh,more,low,med,0
high,2,low,4,med,med,0
high,4,low,more,low,med,0
high,4,med,4,med,big,1
vhigh,5more,low,more,med,med,1
vhigh,2,high,more,med,big,0
high,2,med,2,high,big,0
high,3,med,2,low,big,0
vhigh,4,low,4,low,small,0
med,4,med,2,low,small,0
med,3,low,2,med,small,0
med,2,high,2,high,big,0
high,3,high,more,med,big,1
high,3,med,4,high,big,1
med,2,med,2,low,big,0
low,5more,high,2,med,med,0
low,5more,low,more,high,big,3
med,3,med,2,high,big,0
high,2,vhigh,more,low,small,0
high,5more,high,more,med,small,0
low,5more,vhigh,more,low,med,0
med,4,low,4,high,big,3
med,3,vhigh,4,low,med,0
vhigh,5more,vhigh,2,high,small,0
high,4,med,2,high,big,0
high,5more,vhigh,4,high,med,0
vhigh,2,vhigh,more,low,med,0
vhigh,2,vhigh,4,high,small,0
low,2,vhigh,2,med,big,0
high,4,vhigh,more,low,big,0
low,3,med,4,high,small,2
vhigh,2,vhigh,4,high,med,0
vhigh,5more,vhigh,more,low,med,0
high,5more,low,2,med,med,0
low,4,vhigh,2,low,med,0
high,2,vhigh,2,med,small,0
low,3,high,2,low,small,0
med,5more,high,4,low,big,0
vhigh,5more,med,more,low,big,0
vhigh,2,med,4,low,small,0
vhigh,5more,high,4,med,small,0
high,5more,low,2,med,big,0
low,4,med,2,high,small,0
high,4,low,4,med,med,1
med,2,vhigh,4,low,small,0
low,3,med,more,med,big,2
med,3,med,4,med,big,1
med,2,med,2,high,med,0
low,3,high,more,low,big,0
vhigh,5more,med,2,med,big,0
high,2,high,more,high,small,0
high,4,vhigh,2,high,big,0
high,2,low,more,low,small,0
high,4,high,2,low,med,0
med,3,low,more,low,small,0
vhigh,5more,med,more,med,med,1
med,3,low,4,high,med,2
vhigh,5more,vhigh,2,low,small,0
low,4,low,more,med,small,1
low,4,low,2,low,small,0
med,3,vhigh,more,high,small,1
vhigh,5more,med,4,low,med,0
high,4,vhigh,more,low,small,0
high,4,high,more,med,big,1
vhigh,5more,low,more,low,big,0
high,3,low,more,med,small,0
high,4,vhigh,2,high,med,0
med,5more,low,2,low,med,0
high,4,vhigh,more,high,big,0
high,4,low,4,high,med,1
med,4,med,more,med,small,1
low,3,high,more,med,big,1
low,2,vhigh,more,med,med,0
low,3,low,2,med,small,0
vhigh,5more,low,more,high,big,1
low,5more,low,2,low,med,0
med,3,vhigh,2,med,med,0
vhigh,4,high,more,med,small,0
high,2,low,2,high,small,0
med,4,low,more,high,med,3
vhigh,3,med,2,high,small,0
low,3,med,4,med,big,2
med,4,low,4,high,small,2
low,5more,vhigh,2,low,small,0
high,3,low,4,low,med,0
med,3,low,2,low,med,0
low,2,med,2,low,med,0
low,4,high,2,high,med,0
med,4,med,more,low,med,0
vhigh,2,vhigh,4,high,big,0
low,4,med,more,high,small,2
low,4,med,more,med,small,1
high,5more,high,4,high,med,1
high,3,low,4,med,med,0
med,4,med,more,high,small,1
med,2,high,2,med,med,0
med,3,vhigh,2,low,big,0
med,3,vhigh,more,med,med,1
low,2,high,2,low,small,0
high,3,vhigh,more,high,big,0
high,5more,med,4,low,small,0
low,4,med,4,med,small,1
high,3,med,more,med,med,1
med,4,vhigh,4,med,small,0
low,4,high,more,high,big,3
vhigh,5more,vhigh,4,high,small,0
med,3,high,2,high,small,0
low,3,vhigh,more,high,med,1
high,3,high,2,low,big,0
high,5more,high,4,high,small,1
med,2,high,4,med,med,0
vhigh,5more,low,4,high,med,1
high,3,low,more,low,big,0
med,5more,med,2,med,small,0
high,5more,low,more,low,big,0
