Buying price,Doors,Maintenance costs,Persons,Safety score,Trunk size,label
low,four,very high,more than four,high,big,1
low,four,low,two,high,big,0
very high,five or more,high,two,medium,medium,0
medium,five or more,high,four,medium,medium,1
high,five or more,high,more than four,medium,small,0
very high,five or more,medium,two,high,medium,0
medium,four,very high,more than four,low,small,0
high,two,very high,more than four,high,big,0
low,two,low,two,medium,medium,0
high,two,low,four,medium,big,1
very high,five or more,high,two,high,medium,0
low,four,medium,four,medium,medium,2
high,three,high,two,high,small,0
high,five or more,very high,more than four,medium,medium,0
very high,five or more,very high,more than four,low,medium,0
very high,three,low,four,low,medium,0
medium,five or more,medium,more than four,low,small,0
low,three,high,more than four,high,big,3
medium,five or more,low,more than four,low,medium,0
low,two,high,more than four,high,big,3
medium,two,high,more than four,high,medium,1
very high,two,medium,four,medium,small,0
high,four,very high,four,high,small,0
very high,three,low,two,medium,medium,0
high,five or more,high,four,high,medium,1
very high,two,low,more than four,low,big,0
medium,two,high,four,medium,small,0
high,five or more,low,more than four,medium,big,1
high,three,high,two,medium,medium,0
high,four,high,more than four,high,medium,1
low,three,very high,more than four,low,small,0
low,four,very high,more than four,low,big,0
high,three,high,two,medium,big,0
high,three,very high,four,low,medium,0
very high,two,medium,more than four,medium,small,0
medium,four,very high,four,medium,medium,1
medium,two,very high,two,medium,medium,0
low,two,low,four,medium,small,1
medium,five or more,medium,four,low,small,0
low,three,low,two,high,small,0
low,four,low,two,high,small,0
low,three,medium,two,low,small,0
low,three,low,more than four,medium,small,1
medium,five or more,low,four,medium,big,2
medium,three,medium,two,medium,big,0
low,four,high,two,high,medium,0
very high,five or more,medium,four,medium,medium,1
medium,two,very high,two,medium,big,0
high,five or more,medium,two,low,medium,0
high,three,medium,more than four,high,small,1
high,five or more,high,four,low,medium,0
very high,four,high,two,low,medium,0
medium,four,medium,two,high,medium,0
low,two,low,two,low,medium,0
low,three,very high,more than four,low,medium,0
very high,five or more,low,four,low,medium,0
medium,five or more,low,four,low,big,0
very high,five or more,medium,more than four,high,big,1
very high,five or more,high,two,high,small,0
medium,five or more,high,more than four,medium,big,1
low,four,low,two,low,small,0
high,five or more,very high,two,low,medium,0
high,two,medium,four,medium,big,1
medium,four,medium,two,medium,small,0
medium,four,high,two,low,small,0
low,four,high,more than four,medium,small,1
low,three,medium,more than four,medium,big,2
medium,four,medium,four,low,medium,0
medium,four,low,more than four,high,medium,3
high,four,very high,four,high,big,0
medium,two,medium,more than four,high,big,3
high,four,very high,two,medium,big,0
medium,two,very high,two,low,big,0
high,three,very high,more than four,high,small,0
low,three,very high,four,high,small,1
low,two,high,four,low,small,0
low,four,medium,two,medium,small,0
very high,three,medium,more than four,low,medium,0
medium,five or more,medium,more than four,high,small,1
medium,three,very high,two,high,medium,0
high,two,low,two,medium,small,0
medium,four,very high,four,high,big,1
low,two,high,more than four,low,small,0
low,four,low,two,low,medium,0
very high,two,very high,more than four,medium,medium,0
low,four,medium,two,medium,big,0
low,three,very high,more than four,medium,small,0
very high,five or more,very high,two,low,small,0
low,two,high,two,low,big,0
very high,three,low,more than four,low,small,0
medium,three,low,two,high,medium,0
low,three,low,four,low,medium,0
medium,two,high,two,medium,small,0
low,five or more,medium,four,high,small,2
high,two,high,four,high,small,1
very high,three,low,four,high,medium,1
very high,three,high,more than four,high,medium,0
low,five or more,high,four,low,big,0
low,four,high,more than four,low,medium,0
high,four,low,more than four,high,medium,1
very high,four,high,more than four,medium,medium,0
high,two,very high,two,low,small,0
medium,two,low,two,low,big,0
very high,five or more,medium,four,medium,big,1
low,four,low,more than four,low,big,0
medium,three,very high,four,high,big,1
very high,three,low,four,medium,medium,0
medium,four,very high,four,high,medium,1
very high,three,medium,two,low,medium,0
medium,three,very high,more than four,low,small,0
low,five or more,low,four,low,big,0
low,three,high,more than four,low,medium,0
medium,three,very high,more than four,low,big,0
very high,two,very high,four,medium,medium,0
high,five or more,high,more than four,low,big,0
very high,three,medium,more than four,medium,small,0
very high,two,low,two,high,small,0
medium,two,low,four,high,big,3
low,two,low,four,medium,medium,1
medium,four,low,four,low,big,0
medium,four,low,two,low,medium,0
very high,two,medium,four,medium,medium,0
low,three,very high,two,high,small,0
medium,four,high,more than four,high,medium,1
high,five or more,very high,four,high,big,0
very high,three,very high,two,high,big,0
high,five or more,very high,more than four,low,big,0
very high,five or more,medium,two,medium,small,0
