buying,doors,maint,persons,safety_dict,lug_boot,label
high,2,low,4,low,small,0
med,3,low,4,high,small,2
high,2,vhigh,more,low,med,0
high,2,low,4,med,med,0
low,2,low,more,med,big,2
med,3,med,2,high,med,0
med,5more,low,4,high,small,2
low,4,high,4,low,med,0
vhigh,2,vhigh,4,low,small,0
vhigh,5more,high,2,med,big,0
vhigh,3,high,4,high,med,0
high,5more,vhigh,more,med,small,0
low,2,high,2,low,small,0
low,5more,high,4,low,small,0
vhigh,5more,high,more,high,small,0
med,5more,high,2,low,small,0
med,3,low,more,high,small,2
low,2,low,4,low,small,0
vhigh,3,low,4,med,small,0
high,5more,high,4,med,small,0
vhigh,5more,low,more,med,small,0
low,2,high,more,med,small,0
med,5more,vhigh,2,high,small,0
high,4,high,4,high,small,1
med,5more,vhigh,2,low,small,0
high,2,high,2,high,med,0
med,5more,vhigh,4,med,big,1
high,2,vhigh,4,high,med,0
low,5more,high,more,high,med,3
low,4,low,2,med,big,0
med,5more,vhigh,more,med,med,1
vhigh,3,vhigh,2,med,big,0
