Age,Race,Sex, Marital status,Relation to head of the household,Native country,Occupation,Work class,Capital gain last year,Capital loss last year,Education,Work hours per week,label
32,White,Female,separated,Unmarried,United States,sales sector,private sector employee,0,0,finished 8th class,35,False
58,White,Male,married,Husband,United States,professional specialty,local government,0,0,master's degree,40,True
42,White,Male,married,Husband,United States,,,0,0,high school graduate,40,False
18,Black,Male,never married,Own-child,United States,,,0,0,finished 10th class,40,False
32,White,Male,married,Husband,United States,sales sector,private sector employee,0,1977,bachelor's degree,45,True
50,White,Male,divorced,Unmarried,,craft and repair sector,"owner of a non-incorporated business, professional practice, or farm",0,0,finished 11th class,40,False
73,White,Male,married,Husband,United States,sales sector,"owner of a non-incorporated business, professional practice, or farm",0,0,college for less than one year,25,False
30,White,Male,never married,Own-child,United States,protective services sector,private sector employee,0,0,high school graduate,70,False
28,White,Male,never married,Not-in-family,United States,cleaning and maintenance sector,private sector employee,0,0,high school graduate,40,False
58,White,Male,married,Husband,United States,professional specialty,"owner of a incorporated business, professional practice, or farm",0,0,bachelor's degree,40,True
50,White,Male,married,Husband,United States,craft and repair sector,local government,0,0,high school graduate,45,False
35,White,Male,married,Husband,United States,execution and management,private sector employee,0,0,bachelor's degree,60,True
23,White,Male,married,Husband,Canada,professional specialty,private sector employee,2407,0,bachelor's degree,6,False
22,White,Male,never married,Not-in-family,United States,execution and management,private sector employee,0,0,high school graduate,40,False
34,White,Male,married,Husband,United States,protective services sector,state government,0,0,college for less than one year,40,False
24,White,Female,never married,Own-child,United States,sales sector,private sector employee,0,0,college for less than one year,12,False
48,White,Male,married,Husband,United States,execution and management,private sector employee,0,0,master's degree,40,True
34,Black,Female,never married,Own-child,United States,sales sector,private sector employee,0,0,bachelor's degree,40,False
18,White,Female,never married,Own-child,United States,sales sector,private sector employee,0,0,college for less than one year,25,False
22,White,Female,never married,Own-child,United States,execution and management,local government,0,0,college for less than one year,25,False
35,White,Male,married,Husband,United States,craft and repair sector,private sector employee,0,0,college for less than one year,60,False
38,White,Male,divorced,Other-relative,United States,technology and support sector,private sector employee,0,0,bachelor's degree,40,False
26,White,Male,married,Other-relative,United States,craft and repair sector,private sector employee,0,0,finished 10th class,48,False
35,White,Male,married,Husband,United States,professional specialty,private sector employee,0,0,master's degree,50,False
27,White,Male,never married,Not-in-family,United States,"transportation, communication, and other public utilities sector",private sector employee,0,0,high school graduate,60,False
18,White,Male,never married,Own-child,United States,machine operator and inspector,private sector employee,0,0,finished 12th class without diploma,30,False
42,White,Female,married,Wife,United States,machine operator and inspector,private sector employee,0,0,college for less than one year,37,True
62,White,Male,married,Husband,United States,machine operator and inspector,private sector employee,0,0,college for less than one year,40,False
43,White,Male,married,Husband,Poland,machine operator and inspector,private sector employee,0,0,high school graduate,40,False
31,White,Male,never married,Own-child,United States,protective services sector,local government,0,0,high school graduate,40,False
32,White,Male,married,Husband,Dominican-Republic,protective services sector,private sector employee,0,0,college for less than one year,46,False
21,White,Male,never married,Own-child,United States,office and administrative support,private sector employee,0,0,college for less than one year,40,False
38,White,Male,married,Husband,United States,machine operator and inspector,private sector employee,0,0,high school graduate,65,True
19,White,Male,never married,Own-child,United States,machine operator and inspector,private sector employee,0,0,high school graduate,40,False
50,White,Male,married,Husband,United States,"agriculture, forestry, and fisheries sector","owner of a non-incorporated business, professional practice, or farm",0,0,finished 8th class,40,False
32,White,Male,divorced,Not-in-family,United States,cleaning and maintenance sector,private sector employee,0,0,college for less than one year,16,False
40,White,Male,married,Husband,United States,execution and management,private sector employee,0,1672,high school graduate,45,False
37,White,Male,married,Husband,United States,"agriculture, forestry, and fisheries sector","owner of a non-incorporated business, professional practice, or farm",0,0,college for one or more years without a degree,50,True
23,White,Female,never married,Not-in-family,United States,office and administrative support,private sector employee,0,0,bachelor's degree,40,False
38,White,Male,married,Husband,United States,craft and repair sector,private sector employee,0,0,finished 12th class without diploma,40,True
50,White,Male,married,Husband,United States,craft and repair sector,private sector employee,0,0,high school graduate,60,True
31,White,Female,divorced,Not-in-family,United States,office and administrative support,private sector employee,0,0,college for less than one year,50,False
28,White,Male,married,Husband,United States,professional specialty,"owner of a non-incorporated business, professional practice, or farm",0,0,doctoral degree,50,True
27,White,Female,married,Wife,United States,office and administrative support,private sector employee,0,0,college for one or more years without a degree,35,False
38,White,Female,widowed,Unmarried,United States,service sector,private sector employee,0,0,high school graduate,20,False
40,White,Male,married,Husband,United States,machine operator and inspector,private sector employee,0,0,high school graduate,40,False
23,White,Female,divorced,Other-relative,United States,office and administrative support,private sector employee,0,0,college for less than one year,20,False
71,White,Male,married,Husband,United States,professional specialty,private sector employee,0,0,professional degree,16,False
23,White,Female,never married,Own-child,United States,sales sector,private sector employee,0,0,bachelor's degree,60,False
37,White,Male,divorced,Own-child,United States,cleaning and maintenance sector,private sector employee,0,1504,college for less than one year,40,False
34,White,Male,married,Husband,United States,professional specialty,local government,0,0,master's degree,41,True
28,White,Male,married,Husband,United States,sales sector,private sector employee,0,0,bachelor's degree,50,True
61,White,Male,married,Husband,United States,machine operator and inspector,private sector employee,0,0,bachelor's degree,40,True
37,White,Male,married,Husband,United States,office and administrative support,federal government,0,0,high school graduate,40,True
23,White,Male,never married,Own-child,United States,service sector,private sector employee,0,0,college for less than one year,32,False
24,White,Female,never married,Own-child,United States,craft and repair sector,private sector employee,0,0,college for less than one year,45,False
17,White,Male,never married,Own-child,United States,cleaning and maintenance sector,private sector employee,0,0,finished 11th class,25,False
31,White,Male,married,Husband,United States,sales sector,private sector employee,0,0,bachelor's degree,40,False
30,White,Male,married,Husband,United States,execution and management,private sector employee,0,0,master's degree,50,True
37,White,Male,married,Husband,United States,craft and repair sector,private sector employee,0,0,high school graduate,40,True
23,White,Female,never married,Not-in-family,United States,execution and management,private sector employee,0,0,bachelor's degree,30,False
54,White,Male,married,Husband,United States,sales sector,private sector employee,0,0,college for less than one year,98,False
43,White,Male,married,Husband,United States,service sector,private sector employee,0,1887,high school graduate,80,True
37,Black,Male,separated,Not-in-family,United States,cleaning and maintenance sector,private sector employee,0,0,college for less than one year,35,False
31,White,Female,divorced,Not-in-family,United States,professional specialty,private sector employee,0,0,bachelor's degree,40,False
42,White,Male,divorced,Unmarried,United States,execution and management,local government,0,0,high school graduate,40,False
48,White,Male,married,Husband,United States,execution and management,private sector employee,0,0,college for less than one year,65,True
23,,Male,never married,Own-child,United States,office and administrative support,private sector employee,0,0,college for less than one year,25,False
23,White,Male,never married,Own-child,United States,craft and repair sector,private sector employee,0,0,finished 11th class,3,False
58,White,Male,married,Husband,United States,service sector,local government,0,0,high school graduate,40,False
20,White,Female,never married,Not-in-family,United States,office and administrative support,private sector employee,0,0,high school graduate,40,False
74,White,Male,married,Husband,United States,professional specialty,"owner of a non-incorporated business, professional practice, or farm",0,1648,college for less than one year,35,False
38,Asian-Pac-Islander,Male,married,Husband,Trinadad&Tobago,office and administrative support,private sector employee,0,0,high school graduate,48,False
36,White,Female,never married,Own-child,United States,,,0,0,bachelor's degree,50,False
18,White,Male,never married,Own-child,United States,craft and repair sector,private sector employee,0,0,finished 10th class,30,False
51,White,Male,never married,Not-in-family,United States,professional specialty,private sector employee,0,0,master's degree,55,True
44,White,Male,divorced,Not-in-family,Portugal,craft and repair sector,"owner of a incorporated business, professional practice, or farm",0,0,high school graduate,60,False
52,White,Male,married,Husband,United States,professional specialty,"owner of a non-incorporated business, professional practice, or farm",0,0,professional degree,50,True
50,White,Male,married,Husband,United States,sales sector,private sector employee,0,0,college for less than one year,40,False
31,White,Female,never married,Own-child,Cuba,execution and management,federal government,0,0,bachelor's degree,40,False
41,White,Male,married,Husband,Canada,execution and management,private sector employee,15024,0,doctoral degree,50,True
33,Black,Male,never married,Not-in-family,United States,professional specialty,private sector employee,0,0,master's degree,50,False
38,White,Male,married,Husband,Poland,craft and repair sector,private sector employee,0,0,master's degree,50,False
71,White,Male,married,Husband,United States,"agriculture, forestry, and fisheries sector","owner of a non-incorporated business, professional practice, or farm",0,0,finished 8th class,50,False
28,White,Male,married,Husband,United States,cleaning and maintenance sector,private sector employee,0,0,college for less than one year,40,False
67,White,Female,widowed,Not-in-family,United States,service sector,"owner of a non-incorporated business, professional practice, or farm",0,0,high school graduate,20,False
50,Black,Female,separated,Unmarried,United States,execution and management,local government,6497,0,high school graduate,35,False
25,Black,Female,never married,Unmarried,United States,,,0,0,high school graduate,40,False
50,White,Female,widowed,Not-in-family,United States,service sector,state government,0,0,high school graduate,37,False
45,Asian-Pac-Islander,Female,divorced,Not-in-family,Japan,office and administrative support,private sector employee,0,1590,high school graduate,40,False
28,White,Male,never married,Own-child,United States,craft and repair sector,private sector employee,0,0,high school graduate,40,False
53,White,Female,separated,Unmarried,United States,execution and management,private sector employee,0,0,associate's degree,40,False
59,White,Male,married,Husband,United States,professional specialty,private sector employee,0,0,bachelor's degree,44,True
39,White,Male,never married,Not-in-family,United States,craft and repair sector,"owner of a non-incorporated business, professional practice, or farm",0,0,college for less than one year,25,False
26,White,Male,married,Husband,United States,"transportation, communication, and other public utilities sector",private sector employee,0,0,high school graduate,52,True
