age,race,sex,marital_status,relationship,native_country,occupation,workclass,capital_gain,capital_loss,education,hours_per_week,label
33,White,Male,Never-married,Own-child,United-States,Sales,Private,0,0,Bachelors,40,False
50,White,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Private,15024,0,Masters,65,True
40,Black,Female,Never-married,Not-in-family,United-States,Machine-op-inspct,Private,0,0,Some-college,40,False
44,White,Female,Married-civ-spouse,Wife,United-States,Exec-managerial,Self-emp-not-inc,0,1902,Masters,60,True
44,White,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Private,0,0,Bachelors,40,True
19,White,Female,Married-civ-spouse,Other-relative,United-States,Sales,Private,0,0,HS-grad,25,False
69,White,Male,Married-civ-spouse,Husband,United-States,,,1409,0,HS-grad,35,False
42,White,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Private,0,0,7th-8th,40,False
42,White,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Private,0,0,Bachelors,40,True
28,White,Male,Never-married,Not-in-family,United-States,Machine-op-inspct,Private,0,0,HS-grad,48,False
22,White,Female,Never-married,Not-in-family,United-States,Sales,Private,0,0,Some-college,40,False
39,White,Male,Married-civ-spouse,Husband,United-States,Machine-op-inspct,Private,0,0,10th,40,False
27,White,Male,Never-married,Own-child,United-States,Exec-managerial,Private,0,0,Assoc-voc,50,False
60,Black,Male,Separated,Not-in-family,United-States,Handlers-cleaners,Private,0,0,5th-6th,40,False
35,White,Male,Divorced,Unmarried,United-States,Craft-repair,Private,0,0,Assoc-acdm,45,True
25,Other,Female,Separated,Other-relative,Ecuador,Adm-clerical,Private,0,0,Some-college,40,False
50,White,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Self-emp-not-inc,0,0,Some-college,35,False
29,White,Male,Divorced,Not-in-family,United-States,Craft-repair,Private,0,0,HS-grad,40,False
36,White,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Private,0,0,HS-grad,40,False
38,White,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Private,0,0,Some-college,40,False
43,White,Male,Divorced,Unmarried,United-States,Prof-specialty,Local-gov,0,0,Masters,40,False
63,White,Male,Married-civ-spouse,Husband,United-States,Prof-specialty,Private,0,0,Some-college,38,False
48,Black,Male,Never-married,Not-in-family,United-States,Other-service,Private,0,0,HS-grad,52,False
59,White,Male,Married-civ-spouse,Husband,United-States,Machine-op-inspct,Private,0,0,11th,40,False
25,White,Female,Never-married,Not-in-family,United-States,Adm-clerical,Private,0,0,Bachelors,35,False
43,White,Male,Married-civ-spouse,Husband,United-States,Tech-support,Private,0,0,Assoc-acdm,40,False
57,White,Female,Divorced,Not-in-family,United-States,Adm-clerical,Federal-gov,0,0,HS-grad,40,False
65,Asian-Pac-Islander,Male,Married-civ-spouse,Husband,United-States,,,0,0,HS-grad,48,True
43,White,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,State-gov,0,0,Bachelors,35,True
60,White,Male,Married-civ-spouse,Husband,United-States,Farming-fishing,Self-emp-not-inc,0,0,11th,50,False
36,White,Female,Married-civ-spouse,Own-child,United-States,Adm-clerical,Private,0,0,Some-college,30,True
21,White,Male,Never-married,Own-child,,Sales,Private,0,0,Some-college,40,False
30,White,Female,Never-married,Not-in-family,France,Adm-clerical,Private,0,0,Masters,40,False
55,White,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Private,0,0,7th-8th,41,False
28,White,Female,Never-married,Not-in-family,,Sales,Private,0,0,Assoc-acdm,40,False
57,White,Male,Married-civ-spouse,Husband,United-States,,,7298,0,5th-6th,84,True
31,White,Male,Married-civ-spouse,Husband,United-States,Prof-specialty,Private,0,0,Prof-school,60,True
34,White,Male,Married-civ-spouse,Husband,United-States,Sales,Private,0,0,Assoc-voc,40,False
36,White,Male,Married-civ-spouse,Husband,United-States,Prof-specialty,Private,0,1887,Some-college,40,True
61,White,Male,Married-civ-spouse,Husband,United-States,,,0,0,HS-grad,16,False
59,White,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Self-emp-inc,15024,0,Masters,80,True
38,White,Female,Divorced,Not-in-family,United-States,Tech-support,Private,0,0,Assoc-voc,36,False
51,Black,Male,Married-civ-spouse,Husband,United-States,Machine-op-inspct,Private,0,0,HS-grad,40,False
24,White,Male,Married-civ-spouse,Husband,United-States,Adm-clerical,Federal-gov,0,0,HS-grad,40,False
48,Black,Male,Married-civ-spouse,Husband,United-States,Transport-moving,Private,0,0,HS-grad,99,False
38,White,Male,Married-civ-spouse,Husband,United-States,Prof-specialty,Private,0,0,Prof-school,40,True
33,White,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Private,0,0,HS-grad,40,True
42,White,Male,Married-civ-spouse,Husband,United-States,Transport-moving,Local-gov,0,0,Some-college,40,False
29,White,Female,Married-civ-spouse,Wife,United-States,Prof-specialty,Local-gov,0,0,Bachelors,25,True
19,White,Male,Never-married,Own-child,United-States,Craft-repair,Private,0,0,HS-grad,40,False
38,Asian-Pac-Islander,Male,Married-civ-spouse,Husband,India,Prof-specialty,State-gov,7688,0,Bachelors,60,True
20,White,Male,Never-married,Not-in-family,United-States,,,0,0,HS-grad,40,False
58,White,Male,Divorced,Not-in-family,United-States,Prof-specialty,Private,0,0,Masters,20,False
30,White,Male,Never-married,Not-in-family,United-States,Craft-repair,Private,0,0,7th-8th,50,False
61,White,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Self-emp-inc,99999,0,Prof-school,40,True
24,White,Male,Married-civ-spouse,Husband,United-States,Handlers-cleaners,Private,0,0,10th,40,False
45,White,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Private,0,0,Masters,50,True
25,White,Male,Never-married,Not-in-family,,Prof-specialty,Private,0,0,Bachelors,40,False
31,Other,Female,Never-married,Not-in-family,Mexico,Machine-op-inspct,Private,0,0,7th-8th,40,False
19,White,Female,Never-married,Not-in-family,United-States,Adm-clerical,Private,0,0,HS-grad,26,False
61,White,Male,Married-civ-spouse,Husband,Mexico,Other-service,Local-gov,0,0,1st-4th,40,False
51,White,Male,Divorced,Own-child,United-States,Transport-moving,Private,0,0,9th,40,False
34,White,Female,Never-married,Unmarried,United-States,Exec-managerial,Private,0,0,Masters,50,False
31,White,Female,Never-married,Not-in-family,United-States,Sales,Private,0,0,Some-college,60,False
21,White,Female,Never-married,Own-child,United-States,Sales,Private,0,0,Some-college,40,False
36,Asian-Pac-Islander,Female,Married-civ-spouse,Wife,Philippines,Adm-clerical,Private,0,0,Bachelors,40,False
36,Black,Female,Divorced,Unmarried,United-States,Machine-op-inspct,Private,0,0,10th,40,False
51,Amer-Indian-Eskimo,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Private,3908,0,7th-8th,47,False
19,White,Male,Never-married,Other-relative,United-States,Other-service,Private,0,0,HS-grad,30,False
21,White,Female,Never-married,Own-child,United-States,Adm-clerical,State-gov,0,0,HS-grad,43,False
46,White,Male,Divorced,Not-in-family,United-States,Exec-managerial,Federal-gov,0,0,HS-grad,42,False
79,White,Male,Married-civ-spouse,Husband,El-Salvador,Prof-specialty,Private,20051,0,Doctorate,35,True
30,White,Male,Never-married,Not-in-family,United-States,Prof-specialty,Private,0,1590,Prof-school,80,False
18,White,Female,Never-married,Own-child,United-States,Other-service,Private,0,0,11th,15,False
47,White,Male,Divorced,Own-child,United-States,Sales,Private,0,0,Some-college,55,False
52,White,Male,Married-civ-spouse,Husband,United-States,Sales,Private,0,0,HS-grad,44,False
20,White,Male,Never-married,Own-child,United-States,Handlers-cleaners,Private,0,0,Some-college,25,False
33,White,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Private,0,0,HS-grad,40,False
33,White,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Private,4386,0,HS-grad,60,True
32,Other,Male,Never-married,Unmarried,United-States,Other-service,Private,0,0,Bachelors,40,False
20,White,Female,Never-married,Not-in-family,United-States,Tech-support,Private,0,0,Some-college,10,False
45,White,Male,Married-civ-spouse,Husband,United-States,Machine-op-inspct,Private,0,0,HS-grad,45,True
