Age,Race,Sex, Marital status,Relation to head of the household,Native country,Occupation,Work class,Capital gain last year,Capital loss last year,Education,Work hours per week,label
32,White,Male,married,Husband,United States,technology and support sector,private sector employee,0,0,high school graduate,60,True
27,White,Female,divorced,Not-in-family,United States,service sector,private sector employee,0,0,finished 10th class,40,False
34,Black,Male,divorced,Not-in-family,United States,cleaning and maintenance sector,private sector employee,0,0,high school graduate,40,False
40,White,Male,never married,Not-in-family,Puerto-Rico,office and administrative support,federal government,0,0,bachelor's degree,40,False
32,White,Male,never married,Not-in-family,United States,technology and support sector,private sector employee,0,0,high school graduate,45,False
20,White,Male,never married,Own-child,United States,service sector,private sector employee,0,0,college for less than one year,20,False
22,White,Male,never married,Other-relative,United States,office and administrative support,private sector employee,0,0,college for less than one year,40,False
24,White,Male,never married,Own-child,United States,craft and repair sector,private sector employee,0,0,college for less than one year,45,False
64,White,Male,married,Husband,United States,"agriculture, forestry, and fisheries sector","owner of a non-incorporated business, professional practice, or farm",0,0,master's degree,40,False
35,White,Male,married,Husband,United States,craft and repair sector,private sector employee,0,0,college for less than one year,52,False
31,White,Male,never married,Other-relative,United States,office and administrative support,private sector employee,0,0,college for less than one year,40,False
18,White,Male,never married,Not-in-family,United States,professional specialty,private sector employee,0,0,high school graduate,30,False
73,White,Male,married,Husband,United States,"agriculture, forestry, and fisheries sector","owner of a non-incorporated business, professional practice, or farm",0,0,high school graduate,40,False
25,,Female,never married,Other-relative,Ecuador,service sector,private sector employee,0,0,college for less than one year,25,False
37,White,Female,married,Wife,United States,service sector,private sector employee,0,0,finished 12th class without diploma,45,False
44,Black,Female,divorced,Unmarried,United States,service sector,private sector employee,0,0,college for less than one year,35,False
22,White,Male,never married,Not-in-family,United States,service sector,private sector employee,0,0,high school graduate,45,False
30,White,Male,never married,Own-child,United States,craft and repair sector,private sector employee,0,0,high school graduate,40,False
33,White,Male,married,Husband,United States,machine operator and inspector,private sector employee,0,0,high school graduate,40,False
32,White,Male,married,Husband,Ireland,execution and management,private sector employee,0,0,high school graduate,40,False
19,White,Male,never married,Unmarried,Guatemala,"transportation, communication, and other public utilities sector",private sector employee,0,0,finished 8th class,25,False
18,White,Female,never married,Not-in-family,United States,service sector,private sector employee,0,0,high school graduate,35,False
