age,race,sex,marital_status,relationship,native_country,occupation,workclass,capital_gain,capital_loss,education,hours_per_week,label
48,White,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Local-gov,0,0,Assoc-voc,40,False
24,White,Female,Never-married,Own-child,United-States,Other-service,Private,0,0,HS-grad,30,False
25,White,Female,Never-married,Own-child,United-States,Adm-clerical,Private,0,0,Assoc-acdm,38,False
36,White,Male,Married-civ-spouse,Husband,United-States,Machine-op-inspct,Private,0,0,12th,40,False
33,White,Male,Married-civ-spouse,Husband,United-States,Farming-fishing,Self-emp-not-inc,0,0,Bachelors,75,False
33,White,Male,Married-civ-spouse,Husband,United-States,Sales,Self-emp-not-inc,0,1740,Some-college,50,False
58,White,Male,Married-civ-spouse,Husband,United-States,Sales,Private,0,0,Some-college,45,False
40,White,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Private,3411,0,Some-college,50,False
25,Black,Female,Never-married,Not-in-family,United-States,Prof-specialty,Local-gov,0,0,Bachelors,40,False
31,White,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Private,0,0,HS-grad,40,False
19,Black,Female,Never-married,Own-child,United-States,Adm-clerical,Local-gov,0,0,HS-grad,40,False
26,White,Male,Never-married,Not-in-family,United-States,Other-service,Private,0,0,HS-grad,40,False
43,White,Male,Married-civ-spouse,Husband,United-States,Sales,Self-emp-not-inc,0,0,Bachelors,40,True
53,White,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Private,0,0,Masters,40,True
37,White,Female,Divorced,Not-in-family,United-States,Adm-clerical,Private,0,0,Some-college,40,False
38,White,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Private,0,0,Assoc-voc,50,False
28,White,Male,Married-civ-spouse,Husband,Nicaragua,Handlers-cleaners,Private,0,0,Assoc-acdm,40,False
25,White,Female,Married-civ-spouse,Wife,United-States,Adm-clerical,Self-emp-not-inc,0,0,Assoc-acdm,35,True
35,White,Male,Never-married,Not-in-family,,Prof-specialty,Private,8614,0,Bachelors,40,True
41,Black,Female,Divorced,Unmarried,United-States,Exec-managerial,Private,0,0,Assoc-acdm,50,False
34,White,Female,Divorced,Unmarried,United-States,Adm-clerical,Private,0,0,Some-college,30,False
47,White,Female,Divorced,Unmarried,United-States,Sales,Private,0,0,HS-grad,45,False
23,White,Male,Married-civ-spouse,Husband,Mexico,Other-service,Private,0,0,5th-6th,40,False
34,Asian-Pac-Islander,Female,Never-married,Not-in-family,United-States,Prof-specialty,Private,0,0,Prof-school,40,False
36,White,Female,Divorced,Not-in-family,United-States,Prof-specialty,Private,0,0,Masters,40,False
48,White,Male,Married-civ-spouse,Husband,United-States,Sales,Self-emp-inc,0,0,Bachelors,40,True
30,White,Male,Married-civ-spouse,Husband,United-States,Transport-moving,Self-emp-not-inc,0,0,12th,75,False
40,White,Male,Married-civ-spouse,Husband,United-States,Machine-op-inspct,Private,0,0,Some-college,50,True
37,Other,Male,Separated,Own-child,United-States,Protective-serv,Local-gov,0,0,Some-college,52,False
26,White,Male,Never-married,Own-child,United-States,Handlers-cleaners,Private,0,0,Some-college,40,False
53,White,Male,Married-civ-spouse,Husband,United-States,Sales,Private,0,0,Masters,40,False
23,White,Male,Never-married,Not-in-family,United-States,Craft-repair,Private,0,0,Some-college,40,False
61,White,Male,Married-civ-spouse,Husband,Poland,Craft-repair,Private,7688,0,7th-8th,40,True
36,Asian-Pac-Islander,Female,Never-married,Other-relative,,Sales,Private,0,0,HS-grad,40,False
46,White,Female,Never-married,Not-in-family,United-States,Adm-clerical,Private,0,0,Assoc-acdm,40,False
39,White,Male,Married-civ-spouse,Husband,United-States,Adm-clerical,Private,0,0,HS-grad,40,True
34,White,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Private,0,0,Masters,40,True
28,White,Male,Married-civ-spouse,Husband,United-States,Farming-fishing,Self-emp-not-inc,0,0,Some-college,55,False
58,White,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Self-emp-inc,0,0,Bachelors,45,True
61,Asian-Pac-Islander,Male,Married-civ-spouse,Husband,Taiwan,Exec-managerial,Self-emp-inc,0,0,Doctorate,40,True
21,Black,Female,Never-married,Own-child,United-States,Tech-support,Private,0,0,Some-college,4,False
22,White,Female,Never-married,Own-child,United-States,Adm-clerical,Private,0,0,Bachelors,10,False
41,White,Female,Divorced,Unmarried,United-States,Handlers-cleaners,Private,0,0,11th,40,False
38,Black,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Local-gov,0,0,Bachelors,50,True
42,Black,Female,Separated,Unmarried,United-States,Machine-op-inspct,Private,0,0,7th-8th,40,False
22,White,Male,Never-married,Own-child,United-States,Machine-op-inspct,Private,0,0,Some-college,25,False
60,White,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Private,0,0,HS-grad,50,False
37,White,Female,Divorced,Unmarried,United-States,Prof-specialty,Local-gov,1151,0,Bachelors,35,False
45,White,Male,Married-civ-spouse,Husband,United-States,Sales,Private,0,1902,Bachelors,40,True
28,Other,Female,Married-spouse-absent,Own-child,Dominican-Republic,Other-service,Private,0,0,1st-4th,35,False
18,White,Male,Never-married,Own-child,United-States,Exec-managerial,Private,0,0,11th,20,False
40,White,Female,Married-civ-spouse,Wife,United-States,Exec-managerial,Private,0,0,HS-grad,40,False
33,White,Male,Married-civ-spouse,Husband,United-States,Transport-moving,Private,0,0,HS-grad,55,False
32,White,Female,Divorced,Own-child,United-States,Adm-clerical,Private,0,0,HS-grad,40,False
39,White,Male,Married-civ-spouse,Husband,United-States,Prof-specialty,Federal-gov,0,0,Assoc-voc,50,False
21,White,Female,Never-married,Own-child,United-States,Sales,Private,0,0,Some-college,20,False
34,White,Female,Never-married,Not-in-family,United-States,Adm-clerical,Private,6849,0,Some-college,70,False
41,White,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Federal-gov,0,0,Some-college,40,False
52,White,Male,Married-civ-spouse,Husband,United-States,Tech-support,State-gov,0,0,Some-college,50,False
31,White,Male,Married-civ-spouse,Husband,United-States,Sales,Private,0,0,Bachelors,55,False
36,Black,Male,Married-civ-spouse,Husband,United-States,Other-service,Private,7298,0,Bachelors,36,True
54,Black,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Private,0,0,HS-grad,40,True
30,White,Male,Married-civ-spouse,Husband,United-States,Tech-support,Private,0,0,HS-grad,40,False
37,White,Female,Divorced,Unmarried,United-States,Sales,Self-emp-not-inc,0,0,Some-college,40,False
51,White,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Private,0,0,Some-college,40,False
41,Amer-Indian-Eskimo,Female,Married-civ-spouse,Wife,United-States,Adm-clerical,Federal-gov,0,0,Some-college,40,True
23,White,Male,Never-married,Own-child,United-States,Farming-fishing,Private,0,0,HS-grad,40,False
32,White,Male,Married-civ-spouse,Husband,United-States,Machine-op-inspct,Private,0,0,12th,40,False
62,Black,Female,Widowed,Unmarried,United-States,Craft-repair,Private,0,0,HS-grad,40,False
38,Black,Female,Never-married,Own-child,United-States,Other-service,Private,0,0,Some-college,40,False
43,White,Male,Never-married,Own-child,United-States,Prof-specialty,State-gov,99999,0,Bachelors,60,True
25,White,Female,Never-married,Not-in-family,United-States,Exec-managerial,Private,3325,0,Bachelors,40,False
35,White,Male,Married-civ-spouse,Husband,United-States,Sales,Self-emp-not-inc,0,0,Masters,40,True
17,Other,Female,Never-married,Own-child,United-States,Prof-specialty,Private,0,0,10th,15,False
19,White,Female,Never-married,Other-relative,United-States,,,0,0,Some-college,15,False
19,White,Female,Never-married,Own-child,United-States,,,0,0,Some-college,40,False
28,White,Male,Never-married,Not-in-family,United-States,Machine-op-inspct,Private,0,0,HS-grad,50,False
63,White,Male,Married-civ-spouse,Husband,United-States,Sales,Self-emp-not-inc,10605,0,Bachelors,40,True
50,White,Male,Married-civ-spouse,Husband,United-States,Prof-specialty,Private,0,0,HS-grad,40,True
28,White,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Private,0,0,HS-grad,50,False
34,White,Male,Married-civ-spouse,Husband,El-Salvador,Prof-specialty,Local-gov,0,0,HS-grad,40,False
36,White,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Private,0,0,Some-college,50,True
46,White,Female,Divorced,Not-in-family,United-States,Adm-clerical,Federal-gov,0,0,Some-college,40,False
24,White,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Private,0,0,HS-grad,40,False
23,White,Female,Never-married,Own-child,United-States,Adm-clerical,Private,0,1617,Some-college,25,False
45,White,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Self-emp-not-inc,0,0,11th,35,False
40,Asian-Pac-Islander,Male,Married-civ-spouse,Husband,United-States,Machine-op-inspct,Private,0,0,Assoc-voc,40,True
51,White,Male,Widowed,Not-in-family,United-States,Craft-repair,Private,0,0,9th,30,False
55,White,Female,Divorced,Unmarried,United-States,Other-service,Private,0,0,Some-college,10,False
31,White,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Private,0,0,11th,40,False
71,White,Female,Widowed,Not-in-family,United-States,,,0,0,HS-grad,20,False
