age,race,sex,marital_status,relationship,native_country,occupation,workclass,capital_gain,capital_loss,education,hours_per_week,label
51,White,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Self-emp-not-inc,0,0,Some-college,99,True
61,White,Male,Divorced,Not-in-family,United-States,Exec-managerial,Self-emp-not-inc,0,0,Some-college,50,True
31,White,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Private,0,0,Some-college,40,False
36,White,Female,Married-civ-spouse,Wife,United-States,Exec-managerial,Self-emp-not-inc,0,0,Bachelors,40,False
74,White,Male,Married-civ-spouse,Husband,United-States,Farming-fishing,Without-pay,0,0,7th-8th,20,False
41,White,Female,Never-married,Own-child,United-States,,,3418,0,HS-grad,40,False
22,White,Female,Never-married,Own-child,United-States,Handlers-cleaners,Private,0,0,Some-college,13,False
37,White,Female,Never-married,Other-relative,Mexico,Adm-clerical,Private,0,0,5th-6th,40,False
46,White,Male,Divorced,Not-in-family,United-States,Farming-fishing,Private,0,0,HS-grad,50,False
37,White,Male,Married-civ-spouse,Husband,United-States,Prof-specialty,Private,0,0,Bachelors,55,True
43,White,Male,Married-civ-spouse,Husband,United-States,Prof-specialty,Self-emp-not-inc,0,0,Bachelors,21,False
30,White,Female,Married-civ-spouse,Wife,United-States,Adm-clerical,Private,0,0,Bachelors,40,False
18,White,Female,Never-married,Own-child,United-States,Protective-serv,Private,0,0,Some-college,20,False
27,White,Female,Never-married,Own-child,United-States,Adm-clerical,Private,0,0,HS-grad,40,False
71,White,Male,Never-married,Not-in-family,United-States,Handlers-cleaners,Private,0,0,HS-grad,17,False
44,White,Female,Divorced,Unmarried,United-States,Adm-clerical,Private,0,0,HS-grad,40,False
22,White,Female,Never-married,Not-in-family,United-States,Adm-clerical,State-gov,0,0,Some-college,40,False
55,White,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Private,0,0,Assoc-voc,40,True
30,White,Female,Never-married,Not-in-family,United-States,Sales,Private,0,0,Some-college,40,False
22,Black,Male,Never-married,Other-relative,United-States,Other-service,Private,0,0,Assoc-voc,52,False
25,White,Male,Never-married,Not-in-family,United-States,Adm-clerical,Private,0,0,Bachelors,30,False
57,White,Female,Divorced,Unmarried,United-States,Adm-clerical,Private,0,0,Some-college,40,False
27,White,Male,Divorced,Not-in-family,United-States,Craft-repair,Private,0,0,HS-grad,45,False
42,White,Female,Separated,Unmarried,Scotland,Adm-clerical,Private,0,0,HS-grad,35,False
22,White,Male,Never-married,Not-in-family,United-States,Exec-managerial,Private,0,0,Some-college,35,False
41,White,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Private,0,0,Prof-school,50,True
40,White,Male,Married-civ-spouse,Husband,United-States,Machine-op-inspct,Private,0,0,Some-college,40,False
51,White,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Self-emp-not-inc,0,0,5th-6th,40,False
19,White,Male,Never-married,Own-child,United-States,Transport-moving,Private,0,0,12th,15,False
30,White,Female,Never-married,Not-in-family,United-States,Sales,Private,0,0,Bachelors,40,False
55,White,Female,Divorced,Unmarried,United-States,Other-service,Private,0,0,HS-grad,40,False
45,White,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Private,0,0,Assoc-acdm,45,True
35,White,Female,Never-married,Not-in-family,United-States,Prof-specialty,Private,0,0,Bachelors,40,False
29,White,Female,Never-married,Not-in-family,United-States,Other-service,Private,0,0,HS-grad,32,False
42,White,Male,Married-spouse-absent,Not-in-family,,Other-service,Private,27828,0,Doctorate,60,True
33,White,Male,Divorced,Not-in-family,United-States,Craft-repair,Private,0,0,HS-grad,50,False
51,White,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Private,3103,0,Some-college,48,True
29,White,Male,Married-civ-spouse,Husband,United-States,Prof-specialty,Private,0,0,Doctorate,45,True
30,White,Male,Never-married,Unmarried,United-States,Machine-op-inspct,Private,0,0,7th-8th,42,False
19,White,Male,Never-married,Own-child,United-States,Handlers-cleaners,Private,0,0,9th,25,False
68,White,Female,Widowed,Not-in-family,United-States,Craft-repair,Self-emp-not-inc,0,0,HS-grad,35,False
70,White,Male,Married-civ-spouse,Husband,United-States,Other-service,Private,0,0,7th-8th,25,False
28,White,Female,Married-civ-spouse,Wife,United-States,Sales,Private,4064,0,Some-college,25,False
27,White,Male,Never-married,Not-in-family,United-States,Tech-support,Private,0,0,Some-college,40,False
65,White,Male,Never-married,Not-in-family,United-States,Exec-managerial,Self-emp-inc,0,0,Bachelors,40,False
52,White,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Private,0,0,HS-grad,32,False
45,White,Male,Divorced,Unmarried,United-States,Adm-clerical,Federal-gov,0,0,Some-college,42,False
50,Black,Male,Separated,Not-in-family,United-States,Craft-repair,Private,0,0,HS-grad,40,False
38,White,Male,Separated,Unmarried,United-States,Adm-clerical,Private,0,3770,10th,40,False
20,White,Female,Married-civ-spouse,Other-relative,United-States,,,0,0,HS-grad,32,False
64,White,Male,Married-civ-spouse,Husband,United-States,Protective-serv,Local-gov,0,0,Some-college,35,False
55,Black,Female,Divorced,Unmarried,United-States,Adm-clerical,Private,0,0,Assoc-voc,40,False
29,White,Female,Never-married,Unmarried,United-States,Adm-clerical,State-gov,0,0,HS-grad,40,False
36,White,Female,Never-married,Not-in-family,United-States,Machine-op-inspct,Private,0,0,HS-grad,30,False
19,White,Female,Never-married,Own-child,United-States,Other-service,Private,0,0,HS-grad,40,False
55,White,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Federal-gov,0,0,Bachelors,40,True
48,White,Male,Married-civ-spouse,Husband,United-States,Transport-moving,Private,0,0,Assoc-acdm,44,False
44,White,Male,Married-spouse-absent,Unmarried,Poland,Handlers-cleaners,Private,0,0,Some-college,40,False
40,White,Female,Married-civ-spouse,Wife,United-States,Exec-managerial,State-gov,0,0,HS-grad,40,True
30,White,Male,Never-married,Own-child,United-States,Craft-repair,Private,0,0,Bachelors,10,False
26,White,Female,Never-married,Other-relative,Mexico,Priv-house-serv,Private,0,0,Bachelors,35,False
20,Asian-Pac-Islander,Female,Never-married,Own-child,United-States,Sales,Private,0,0,Some-college,20,False
67,White,Male,Married-civ-spouse,Husband,United-States,Transport-moving,Self-emp-not-inc,6418,0,HS-grad,58,True
23,White,Male,Never-married,Not-in-family,United-States,Handlers-cleaners,Federal-gov,0,0,Some-college,40,False
23,White,Female,Never-married,Own-child,United-States,Machine-op-inspct,Private,0,0,HS-grad,16,False
26,White,Female,Widowed,Unmarried,United-States,Adm-clerical,Private,0,0,HS-grad,20,False
74,White,Male,Married-civ-spouse,Husband,United-States,,,0,0,HS-grad,48,False
35,White,Male,Never-married,Not-in-family,United-States,Prof-specialty,Private,0,0,Bachelors,50,False
22,White,Male,Never-married,Not-in-family,United-States,Farming-fishing,Private,0,0,HS-grad,25,False
23,White,Male,Never-married,Not-in-family,United-States,,,0,0,Some-college,40,False
34,White,Male,Married-civ-spouse,Husband,United-States,Other-service,Private,0,0,Masters,30,False
65,White,Male,Widowed,Not-in-family,Poland,Adm-clerical,Federal-gov,0,1944,Some-college,20,False
63,Asian-Pac-Islander,Male,Married-civ-spouse,Husband,Philippines,Protective-serv,Private,0,0,Bachelors,40,True
42,White,Female,Never-married,Not-in-family,United-States,Prof-specialty,Self-emp-not-inc,0,0,Doctorate,45,False
57,White,Female,Widowed,Other-relative,Columbia,Craft-repair,Self-emp-not-inc,0,1602,1st-4th,45,False
31,White,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Private,0,0,HS-grad,40,False
57,White,Male,Married-civ-spouse,Husband,United-States,Prof-specialty,Private,0,0,Masters,60,True
31,Black,Female,Never-married,Not-in-family,United-States,Farming-fishing,Private,0,0,HS-grad,60,False
48,White,Male,Married-civ-spouse,Husband,United-States,Sales,Private,0,0,Bachelors,45,True
22,White,Female,Never-married,Own-child,,Exec-managerial,Private,0,0,Some-college,40,False
56,White,Male,Married-civ-spouse,Husband,United-States,Machine-op-inspct,Private,0,0,HS-grad,40,False
57,White,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Private,0,0,Bachelors,40,True
54,White,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Private,0,0,9th,40,False
63,White,Female,Never-married,Not-in-family,,Priv-house-serv,Private,0,0,5th-6th,50,False
26,White,Male,Divorced,Not-in-family,United-States,Adm-clerical,Private,0,0,HS-grad,40,False
41,White,Male,Married-civ-spouse,Husband,United-States,Sales,Private,0,1848,HS-grad,45,True
52,White,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Private,0,0,Some-college,40,False
19,White,Male,Never-married,Other-relative,Mexico,Craft-repair,Private,0,0,HS-grad,25,False
54,White,Male,Married-civ-spouse,Husband,United-States,Transport-moving,Self-emp-not-inc,0,0,HS-grad,15,False
36,White,Male,Never-married,Not-in-family,United-States,Machine-op-inspct,Private,0,0,HS-grad,50,False
35,White,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Private,0,0,Bachelors,50,True
46,White,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Private,0,0,Some-college,60,True
38,Black,Male,Married-civ-spouse,Husband,United-States,Handlers-cleaners,Private,0,0,HS-grad,40,False
63,White,Male,Married-civ-spouse,Husband,United-States,Transport-moving,Private,0,0,HS-grad,35,True
30,Black,Male,Never-married,Not-in-family,,Prof-specialty,Local-gov,14084,0,Bachelors,45,True
24,White,Male,Never-married,Unmarried,United-States,Craft-repair,Private,0,0,Some-college,50,False
