age,race,sex,marital_status,relationship,native_country,occupation,workclass,capital_gain,capital_loss,education,hours_per_week,label
54,White,Female,Widowed,Unmarried,Mexico,Adm-clerical,Local-gov,0,0,Some-college,40,False
52,White,Male,Married-civ-spouse,Husband,United-States,Sales,Private,0,0,HS-grad,40,True
34,White,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Private,0,0,Bachelors,50,True
23,White,Female,Never-married,Own-child,United-States,Other-service,Private,0,0,Assoc-acdm,20,False
51,Black,Female,Widowed,Unmarried,United-States,Tech-support,Private,0,0,HS-grad,40,False
45,White,Male,Married-civ-spouse,Husband,United-States,Prof-specialty,Self-emp-not-inc,0,0,Prof-school,38,True
48,White,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Local-gov,0,0,HS-grad,40,False
28,White,Female,Never-married,Not-in-family,United-States,Prof-specialty,Local-gov,0,0,Bachelors,40,False
25,White,Male,Never-married,Not-in-family,United-States,Prof-specialty,Private,0,0,Bachelors,35,False
22,White,Female,Never-married,Own-child,United-States,Other-service,Private,0,0,Some-college,25,False
39,White,Female,Married-civ-spouse,Wife,United-States,,,0,0,Bachelors,30,False
88,White,Male,Widowed,Not-in-family,United-States,Farming-fishing,Self-emp-not-inc,0,0,7th-8th,5,False
29,White,Female,Never-married,Not-in-family,United-States,Tech-support,Private,0,0,HS-grad,45,False
45,White,Male,Married-civ-spouse,Husband,United-States,Prof-specialty,Self-emp-inc,0,1485,Prof-school,50,True
49,White,Female,Married-civ-spouse,Wife,Canada,Exec-managerial,Private,5178,0,Some-college,40,True
24,White,Male,Never-married,Own-child,United-States,Sales,Private,0,0,HS-grad,40,False
40,White,Male,Married-civ-spouse,Husband,United-States,Adm-clerical,Private,0,0,Some-college,35,True
50,White,Male,Married-civ-spouse,Husband,El-Salvador,Sales,Self-emp-not-inc,15024,0,HS-grad,55,True
34,Amer-Indian-Eskimo,Male,Married-civ-spouse,Husband,United-States,Transport-moving,Private,0,0,HS-grad,52,False
64,Black,Male,Widowed,Not-in-family,United-States,Prof-specialty,State-gov,8614,0,Doctorate,50,True
39,White,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Local-gov,0,0,Assoc-acdm,40,True
21,White,Female,Never-married,Own-child,United-States,Sales,Private,0,0,11th,38,False
54,White,Female,Divorced,Not-in-family,United-States,Prof-specialty,Private,0,2559,Masters,40,True
47,White,Male,Married-civ-spouse,Other-relative,United-States,Other-service,Local-gov,3908,0,HS-grad,40,False
53,White,Male,Married-civ-spouse,Husband,Dominican-Republic,Other-service,Private,0,0,9th,40,False
34,Black,Male,Never-married,Not-in-family,,Prof-specialty,Private,0,0,Masters,45,True
41,White,Female,Never-married,Not-in-family,United-States,Prof-specialty,State-gov,0,0,Bachelors,40,False
46,White,Male,Married-civ-spouse,Husband,,Sales,Private,0,0,HS-grad,35,False
55,White,Female,Divorced,Not-in-family,United-States,Prof-specialty,Self-emp-not-inc,0,0,Prof-school,35,False
58,White,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Private,0,0,HS-grad,40,True
41,White,Female,Married-civ-spouse,Wife,United-States,Prof-specialty,Private,0,0,Prof-school,40,True
19,White,Male,Never-married,Own-child,United-States,,,0,0,Some-college,40,False
36,White,Male,Married-civ-spouse,Husband,United-States,Sales,Private,0,0,Masters,50,True
31,Other,Female,Never-married,Not-in-family,United-States,Other-service,Private,0,0,HS-grad,35,False
46,White,Male,Married-civ-spouse,Husband,United-States,Prof-specialty,Local-gov,0,0,Bachelors,38,True
17,White,Female,Never-married,Own-child,United-States,Other-service,Local-gov,0,0,10th,25,False
34,White,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Private,7688,0,Bachelors,40,True
27,Black,Male,Never-married,Own-child,United-States,,,0,0,HS-grad,40,False
30,White,Female,Separated,Unmarried,United-States,Adm-clerical,Private,0,0,HS-grad,40,False
43,White,Male,Married-civ-spouse,Husband,United-States,Farming-fishing,Self-emp-not-inc,0,0,Some-college,50,False
33,Black,Female,Divorced,Unmarried,United-States,Craft-repair,Federal-gov,0,0,Assoc-voc,40,True
37,White,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Private,4386,0,HS-grad,45,True
67,White,Female,Widowed,Not-in-family,United-States,Other-service,Private,0,0,HS-grad,24,False
59,White,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Private,0,0,Some-college,43,True
59,Asian-Pac-Islander,Male,Divorced,Not-in-family,China,Other-service,Private,0,0,HS-grad,40,False
54,White,Male,Married-civ-spouse,Husband,United-States,Sales,Private,0,0,Some-college,40,False
46,White,Female,Married-civ-spouse,Wife,United-States,Prof-specialty,Local-gov,0,0,Bachelors,70,False
53,White,Female,Widowed,Not-in-family,United-States,Machine-op-inspct,Private,0,0,HS-grad,40,False
34,Amer-Indian-Eskimo,Male,Divorced,Not-in-family,United-States,Prof-specialty,Private,0,0,Some-college,44,False
41,White,Female,Divorced,Unmarried,United-States,Craft-repair,Private,0,0,HS-grad,50,False
81,White,Male,Married-civ-spouse,Husband,Poland,Prof-specialty,Private,0,0,1st-4th,15,False
24,Asian-Pac-Islander,Female,Married-civ-spouse,Own-child,Vietnam,Other-service,Private,0,0,1st-4th,5,False
