white piece strength,white piece file,white piece rank,black piece strength,black piece file,black piece rank,label
7,3,6,7,0,7,True
4,2,1,0,3,2,False
7,1,0,0,2,3,False
0,4,7,7,6,4,True
0,0,3,6,6,0,False
6,4,1,0,5,2,False
7,5,1,4,1,7,True
6,0,0,0,1,7,True
0,6,1,6,6,6,False
0,4,6,0,0,8,True
7,0,5,7,6,5,True
7,0,4,0,1,6,True
4,1,8,7,0,4,True
0,3,1,4,1,6,False
6,1,2,6,6,4,True
0,2,8,6,2,0,True
5,2,1,6,0,5,True
0,0,4,6,4,8,False
4,5,2,6,4,8,False
7,0,0,0,0,4,False
6,3,5,7,5,8,True
6,5,1,7,5,0,False
4,0,1,7,1,0,False
4,5,1,0,2,5,False
0,4,6,6,5,7,False
4,6,4,6,4,1,False
6,1,8,4,5,8,True
6,4,7,4,0,5,True
0,2,0,6,6,2,False
7,0,2,7,2,8,False
0,1,7,0,1,4,True
4,3,5,0,6,8,True
0,5,4,4,0,5,True
5,5,1,6,5,7,False
6,3,4,7,6,1,True
6,6,8,7,4,1,False
6,4,2,6,1,6,True
6,2,8,5,0,7,True
6,3,2,7,5,6,True
0,3,5,0,2,4,True
7,5,6,0,5,5,True
5,5,6,6,3,7,False
6,0,1,7,2,0,False
7,5,6,0,5,8,False
0,0,4,7,0,5,True
6,6,7,6,1,6,True
4,0,3,6,6,4,False
0,6,0,7,6,5,True
7,2,8,0,2,6,True
6,5,6,5,5,1,False
7,3,1,0,3,7,False
6,0,7,0,2,3,True
7,1,6,6,0,4,True
6,6,6,5,6,4,True
0,3,2,4,5,8,False
0,5,8,0,5,3,True
0,4,8,6,1,1,True
6,5,0,4,4,7,True
6,1,0,7,0,7,False
7,0,0,0,0,1,True
6,0,8,6,4,6,True
7,2,0,4,1,6,True
6,0,8,0,0,1,True
7,0,4,0,1,5,False
