,file,dsize,valid,acc,error_rate,bacc,prec,recall,f1
0,ourscocktail-bank-cv0-e128-s16-mistral-7b,1000,0.997,0.6659979939819458,0.3340020060180542,0.6483038768529077,0.2066115702479339,0.625,0.3105590062111801
1,ourscocktail-bank-cv1-e128-s16-mistral-7b,1000,0.999,0.8038038038038038,0.19619619619619622,0.5421956788061031,0.19834710743801653,0.1951219512195122,0.19672131147540983
2,ourscocktail-bank-cv2-e128-s16-mistral-7b,1000,0.996,0.7881526104417671,0.2118473895582329,0.652298060772637,0.25728155339805825,0.4774774774774775,0.334384858044164
3,ourscocktail-bank-cv3-e128-s16-mistral-7b,1000,0.987,0.6767983789260384,0.32320162107396155,0.6230714285714286,0.18731117824773413,0.5535714285714286,0.2799097065462754
4,ourscocktail-bank-cv4-e128-s16-mistral-7b,1000,0.999,0.8138138138138138,0.1861861861861862,0.6206335526084357,0.31543624161073824,0.35877862595419846,0.3357142857142857
5,ourscocktail-blood-cv0-e128-s16-mistral-7b,149,0.9932885906040269,0.4864864864864865,0.5135135135135135,0.6040805073063138,0.2631578947368421,0.8064516129032258,0.3968253968253968
6,ourscocktail-blood-cv1-e128-s16-mistral-7b,150,0.9933333333333333,0.5704697986577181,0.4295302013422819,0.5684149184149184,0.3188405797101449,0.5641025641025641,0.4074074074074074
7,ourscocktail-blood-cv2-e128-s16-mistral-7b,149,1.0,0.3825503355704698,0.6174496644295302,0.568925831202046,0.25833333333333336,0.9117647058823529,0.4025974025974026
8,ourscocktail-blood-cv3-e128-s16-mistral-7b,150,0.9866666666666667,0.47297297297297297,0.527027027027027,0.5601851851851851,0.30612244897959184,0.75,0.43478260869565216
9,ourscocktail-blood-cv4-e128-s16-mistral-7b,150,0.98,0.41496598639455784,0.5850340136054422,0.546579532814238,0.23300970873786409,0.7741935483870968,0.3582089552238806
10,ourscocktail-calhousing-cv0-e128-s16-mistral-7b,1000,0.99,0.5888888888888889,0.4111111111111111,0.6005941095711297,0.5428226779252111,0.9414225941422594,0.6885998469778117
